invoice_id,extracted_due_date_raw,extracted_due_date,extracted_payment_term_raw,extracted_payment_term,extracted_vendor_id,extracted_invoice_amount_raw,extracted_invoice_amount,extracted_invoice_date_raw,extracted_invoice_date,extracted_po_number,extracted_currency,extracted_contract_reference,ground_truth_due_date,ground_truth_payment_term,ground_truth_vendor_id,ground_truth_invoice_amount,ground_truth_invoice_date,ground_truth_po_number,ground_truth_currency,ground_truth_contract_reference
INV00000050,2025-09-18,2025-09-18,45,45.0,V00267,19395.91,19395.91,2025-08-03,2025-08-03,PO0000816,GBP,,2025-09-18,45,V00267,19395.91,2025-08-03,PO0000816,GBP,CT000267
INV00000051,2025-03-30,2025-03-30,45,45.0,V00228,71130.84,71130.84,2025-02-07,2025-02-07,PO0000032,INR,CT000228,2025-03-30,45,V00228,71130.84,2025-02-07,PO0000032,INR,CT000228
INV00000052,,,30,30.0,V00283,20097.58,20097.58,2025-07-01,2025-07-01,PO0000758,MXN,CT000283,2025-08-06,30,V00283,20097.58,2025-07-01,PO0000758,MXN,CT000283
INV00000053,2025-05-29,2025-05-29,30,30.0,V00410,9729.86,9729.86,2025-04-23,2025-04-23,PO0000973,MXN,CT000410,2025-05-29,30,V00410,9729.86,2025-04-23,PO0000973,MXN,CT000410
INV00000054,25/02/2025,2025-02-25,30,30.0,V00185,122786.70,122786.7,2025-01-25,2025-01-25,PO0000910,GBP,CT000185,2025-02-25,30,V00185,122786.7,2025-01-25,PO0000910,GBP,CT000185
INV00000055,2026-04-18,2026-04-18,60,60.0,V00020,,,2026-02-15,2026-02-15,PO0001019,USD,CT000020,2026-04-18,60,V00020,8801.88,2026-02-15,PO0001019,USD,CT000020
INV00000056,2025-07-01,2025-07-01,60,60.0,V00287,8204.60,8204.6,2025-04-29,2025-04-29,PO0000950,USD,CT000287,2025-07-01,60,V00287,8204.6,2025-04-29,PO0000950,USD,CT000287
INV00000057,11/10/2025,2025-10-11,30,30.0,,4364.06,4364.06,2025-09-05,2025-09-05,PO0001127,MXN,CT000149,2025-10-11,30,V00149,4364.06,2025-09-05,PO0001127,MXN,CT000149
INV00000058,2026-02-12,2026-02-12,30,30.0,V00214,61736.52,61736.52,2026-01-07,2026-01-07,PO0000256,GBP,CT000214,2026-02-12,30,V00214,61736.52,2026-01-07,PO0000256,GBP,CT000214
INV00000059,14/10/2025,2025-10-14,60,60.0,V00189,79111.99,79111.99,2025-08-08,2025-08-08,PO0001073,IDR,CT000189,2025-10-14,60,V00189,79111.99,2025-08-08,PO0001073,IDR,CT000189
INV00000060,2025-08-18,2025-08-18,90,90.0,V00121,"24,143.88",24143.88,2025-05-14,2025-05-14,PO0000265,MXN,CT000121,2025-08-18,90,V00121,24143.88,2025-05-14,PO0000265,MXN,CT000121
INV00000061,2026-02-10,2026-02-10,60,60.0,V00071,5807.66,5807.66,2025-12-05,2025-12-05,PO0000490,ZAR,CT000071,2026-02-10,60,V00071,5807.66,2025-12-05,PO0000490,ZAR,CT000071
INV00000062,2025-12-13,2025-12-13,30,30.0,V00401,16201.88,16201.88,11/11/2025,2025-11-11,PO0000941,INR,CT000401,2025-12-13,30,V00401,16201.88,2025-11-11,PO0000941,INR,CT000401
INV00000063,2025-02-08,2025-02-08,30,30.0,V00051,11875.70,11875.7,2025-01-05,2025-01-05,PO0000033,IDR,CT000051,2025-02-08,30,V00051,11875.7,2025-01-05,PO0000033,IDR,CT000051
INV00000064,2026-03-13,2026-03-13,60,60.0,V00397,5530.36,5530.36,2026-01-08,2026-01-08,PO0001131,EUR,CT000397,2026-03-13,60,V00397,5530.36,2026-01-08,PO0001131,EUR,CT000397
INV00000065,2025-03-26,2025-03-26,30,30.0,V00048,"9,766.02",9766.02,23/02/2025,2025-02-23,PO0000455,ZAR,CT000048,2025-03-26,30,V00048,9766.02,2025-02-23,PO0000455,ZAR,CT000048
INV00000066,2026-01-23,2026-01-23,45,45.0,V00041,27750.87,27750.87,2025-12-02,2025-12-02,PO0000836,ZAR,CT000041,2026-01-23,45,V00041,27750.87,2025-12-02,PO0000836,ZAR,CT000041
INV00000067,2025-04-16,2025-04-16,60,60.0,V00380,8643.59,8643.59,2025-02-15,2025-02-15,PO0000432,INR,CT000380,2025-04-16,60,V00380,8643.59,2025-02-15,PO0000432,INR,CT000380
INV00000068,2025-03-22,2025-03-22,45,45.0,V00398,22166.13,22166.13,2025-01-30,2025-01-30,PO0000831,GBP,,2025-03-22,45,V00398,22166.13,2025-01-30,PO0000831,GBP,CT000398
INV00000069,2025-03-29,2025-03-29,30,30.0,V00377,,,2025-02-25,2025-02-25,PO0001198,IDR,CT000377,2025-03-29,30,V00377,2527.19,2025-02-25,PO0001198,IDR,CT000377
INV00000070,2026-01-19,2026-01-19,45,45.0,V00326,487941.04,487941.04,2025-12-04,2025-12-04,PO0001045,INR,CT000326,2026-01-19,45,V00326,487941.04,2025-12-04,PO0001045,INR,CT000326
INV00000071,2025-09-28,2025-09-28,60,60.0,V00207,10818.55,10818.55,2025-07-26,2025-07-26,PO0000909,IDR,CT000207,2025-09-28,60,V00207,10818.55,2025-07-26,PO0000909,IDR,CT000207
INV00000072,,,45,45.0,V00045,40690.96,40690.96,2025-10-01,2025-10-01,PO0001215,USD,CT000045,2025-11-18,45,V00045,40690.96,2025-10-01,PO0001215,USD,CT000045
INV00000073,2025-06-10,2025-06-10,30,30.0,V00249,"19,892.92",19892.92,2025-05-08,2025-05-08,PO0000358,GBP,CT000249,2025-06-10,30,V00249,19892.92,2025-05-08,PO0000358,GBP,CT000249
INV00000074,2025-05-02,2025-05-02,60,60.0,V00219,24900.00,24900.0,2025-02-24,2025-02-24,PO0000176,MXN,CT000219,2025-05-02,60,V00219,24900.0,2025-02-24,PO0000176,MXN,CT000219
INV00000075,2026-02-12,2026-02-12,45,45.0,V00309,,,2025-12-24,2025-12-24,PO0000300,ZAR,CT000309,2026-02-12,45,V00309,4971.2,2025-12-24,PO0000300,ZAR,CT000309
INV00000076,17/02/2026,2026-02-17,30,30.0,V00015,7342.34,7342.34,14/01/2026,2026-01-14,PO0000182,USD,CT000015,2026-02-17,30,V00015,7342.34,2026-01-14,PO0000182,USD,CT000015
INV00000077,2026-03-24,2026-03-24,60,60.0,V00033,7519.49,7519.49,2026-01-17,2026-01-17,PO0000616,MXN,CT000033,2026-03-24,60,V00033,7519.49,2026-01-17,PO0000616,MXN,CT000033
INV00000078,2025-05-06,2025-05-06,90,90.0,V00248,16757.73,16757.73,2025-01-30,2025-01-30,PO0001021,USD,CT000248,2025-05-06,90,V00248,16757.73,2025-01-30,PO0001021,USD,CT000248
INV00000079,27/04/2026,2026-04-27,60,60.0,V00360,65674.33,65674.33,2026-02-25,2026-02-25,PO0000163,MXN,CT000360,2026-04-27,60,V00360,65674.33,2026-02-25,PO0000163,MXN,CT000360
INV00000080,2025-10-07,2025-10-07,30,30.0,V00392,"25,717.26",25717.26,2025-09-04,2025-09-04,PO0001134,GBP,CT000392,2025-10-07,30,V00392,25717.26,2025-09-04,PO0001134,GBP,CT000392
INV00000081,2025-05-22,2025-05-22,45,45.0,,6340.05,6340.05,31/03/2025,2025-03-31,PO0000951,GBP,CT000239,2025-05-22,45,V00239,6340.05,2025-03-31,PO0000951,GBP,CT000239
INV00000082,2025-06-06,2025-06-06,60,60.0,V00155,17884.70,17884.7,2025-04-01,2025-04-01,PO0000074,IDR,CT000155,2025-06-06,60,V00155,17884.7,2025-04-01,PO0000074,IDR,CT000155
INV00000083,2025-09-16,2025-09-16,30,30.0,V00199,14992.94,14992.94,2025-08-17,2025-08-17,PO0000396,MXN,CT000199,2025-09-16,30,V00199,14992.94,2025-08-17,PO0000396,MXN,CT000199
INV00000084,2025-11-02,2025-11-02,30,30.0,V00214,11289.09,11289.09,2025-10-02,2025-10-02,PO0000721,INR,CT000214,2025-11-02,30,V00214,11289.09,2025-10-02,PO0000721,INR,CT000214
INV00000085,2025-02-24,2025-02-24,30,30.0,V00261,16055.59,16055.59,2025-01-23,2025-01-23,PO0000846,GBP,CT000261,2025-02-24,30,V00261,16055.59,2025-01-23,PO0000846,GBP,CT000261
INV00000086,2025-09-17,2025-09-17,30,30.0,V00096,36384.48,36384.48,2025-08-14,2025-08-14,PO0000139,ZAR,CT000096,2025-09-17,30,V00096,36384.48,2025-08-14,PO0000139,ZAR,CT000096
INV00000087,2025-05-26,2025-05-26,30,30.0,V00164,52218.01,52218.01,,,PO0000569,ZAR,CT000164,2025-05-26,30,V00164,52218.01,2025-04-20,PO0000569,ZAR,CT000164
INV00000088,11/04/2026,2026-04-11,45,45.0,V00228,11348.20,11348.2,,,PO0000032,BRL,CT000228,2026-04-11,45,V00228,11348.2,2026-02-22,PO0000032,BRL,CT000228
INV00000089,07/11/2025,2025-11-07,30,30.0,V00358,45762.80,45762.8,2025-10-07,2025-10-07,PO0001239,USD,CT000358,2025-11-07,30,V00358,45762.8,2025-10-07,PO0001239,USD,CT000358
INV00000090,2025-09-21,2025-09-21,90,90.0,V00338,26699.79,26699.79,2025-06-19,2025-06-19,PO0000305,ZAR,CT000338,2025-09-21,90,V00338,26699.79,2025-06-19,PO0000305,ZAR,CT000338
INV00000091,2025-08-12,2025-08-12,30,30.0,V00317,62509.10,62509.1,2025-07-12,2025-07-12,PO0001142,BRL,CT000317,2025-08-12,30,V00317,62509.1,2025-07-12,PO0001142,BRL,CT000317
INV00000092,2026-02-20,2026-02-20,30,30.0,V00091,73691.46,73691.46,2026-01-16,2026-01-16,PO0000386,BRL,CT000091,2026-02-20,30,V00091,73691.46,2026-01-16,PO0000386,BRL,CT000091
INV00000093,2026-02-16,2026-02-16,90,90.0,V00171,3910.54,3910.54,2025-11-11,2025-11-11,PO0000444,,CT000171,2026-02-16,90,V00171,3910.54,2025-11-11,PO0000444,USD,CT000171
INV00000094,2025-08-30,2025-08-30,60,60.0,V00233,22086.30,22086.3,2025-06-26,2025-06-26,PO0000741,ZAR,CT000233,2025-08-30,60,V00233,22086.3,2025-06-26,PO0000741,ZAR,CT000233
INV00000095,2026-03-10,2026-03-10,45,45.0,V00407,9572.46,9572.46,2026-01-17,2026-01-17,PO0000579,IDR,CT000407,2026-03-10,45,V00407,9572.46,2026-01-17,PO0000579,IDR,CT000407
INV00000096,2025-11-13,2025-11-13,,,V00149,4634.78,4634.78,2025-10-10,2025-10-10,PO0000500,EUR,CT000149,2025-11-13,30,V00149,4634.78,2025-10-10,PO0000500,EUR,CT000149
INV00000097,2025-03-05,2025-03-05,30,30.0,V00386,7124.87,7124.87,2025-01-28,2025-01-28,PO0000301,GBP,CT000386,2025-03-05,30,V00386,7124.87,2025-01-28,PO0000301,GBP,CT000386
INV00000098,2025-11-20,2025-11-20,30,30.0,V00315,11898.80,11898.8,2025-10-14,2025-10-14,,GBP,CT000315,2025-11-20,30,V00315,11898.8,2025-10-14,PO0000561,GBP,CT000315
INV00000099,2026-04-19,2026-04-19,45,45.0,V00267,"11,977.12",11977.12,2026-03-04,2026-03-04,PO0000816,MXN,CT000267,2026-04-19,45,V00267,11977.12,2026-03-04,PO0000816,MXN,CT000267
INV00000100,2026-03-04,2026-03-04,30,30.0,V00141,8627.99,8627.99,2026-01-28,2026-01-28,PO0000144,INR,CT000141,2026-03-04,30,V00141,8627.99,2026-01-28,PO0000144,INR,CT000141
INV00000101,2025-03-08,2025-03-08,45,45.0,V00334,,,2025-01-20,2025-01-20,PO0000970,MXN,CT000334,2025-03-08,45,V00334,16085.55,2025-01-20,PO0000970,MXN,CT000334
INV00000102,2026-05-07,2026-05-07,90,90.0,V00294,212985.32,212985.32,2026-02-06,2026-02-06,,IDR,CT000294,2026-05-07,90,V00294,212985.32,2026-02-06,PO0001118,IDR,CT000294
INV00000103,2026-04-23,2026-04-23,30,30.0,V00282,2666.50,2666.5,,,PO0000849,GBP,CT000282,2026-04-23,30,V00282,2666.5,2026-03-23,PO0000849,GBP,CT000282
INV00000104,16/05/2025,2025-05-16,60,60.0,V00159,53854.20,53854.2,2025-03-16,2025-03-16,PO0000792,INR,CT000159,2025-05-16,60,V00159,53854.2,2025-03-16,PO0000792,INR,CT000159
INV00000105,2025-12-18,2025-12-18,60,60.0,V00180,,,2025-10-18,2025-10-18,PO0000677,MXN,CT000180,2025-12-18,60,V00180,16005.81,2025-10-18,PO0000677,MXN,CT000180
INV00000106,2026-01-24,2026-01-24,45,45.0,V00252,10303.38,10303.38,2025-12-10,2025-12-10,PO0001132,INR,CT000252,2026-01-24,45,V00252,10303.38,2025-12-10,PO0001132,INR,CT000252
INV00000107,26/02/2025,2025-02-26,30,30.0,V00355,1960.35,1960.35,2025-01-20,2025-01-20,PO0000209,IDR,CT000355,2025-02-26,30,V00355,1960.35,2025-01-20,PO0000209,IDR,CT000355
INV00000108,2026-02-14,2026-02-14,30,30.0,V00274,326059.61,326059.61,12/01/2026,2026-01-12,PO0000517,USD,CT000274,2026-02-14,30,V00274,326059.61,2026-01-12,PO0000517,USD,CT000274
INV00000109,2025-07-30,2025-07-30,30,30.0,V00415,25563.64,25563.64,2025-06-29,2025-06-29,PO0001192,INR,CT000415,2025-07-30,30,V00415,25563.64,2025-06-29,PO0001192,INR,CT000415
INV00000110,2025-07-03,2025-07-03,45,45.0,V00286,38920.98,38920.98,2025-05-17,2025-05-17,PO0001020,BRL,CT000286,2025-07-03,45,V00286,38920.98,2025-05-17,PO0001020,BRL,CT000286
INV00000111,2025-06-17,2025-06-17,45,45.0,V00172,101559.23,101559.23,2025-04-28,2025-04-28,PO0000934,GBP,CT000172,2025-06-17,45,V00172,101559.23,2025-04-28,PO0000934,GBP,CT000172
INV00000112,23/10/2025,2025-10-23,60,60.0,V00242,4243.13,4243.13,2025-08-19,2025-08-19,PO0000952,MXN,CT000242,2025-10-23,60,V00242,4243.13,2025-08-19,PO0000952,MXN,CT000242
INV00000113,2026-01-29,2026-01-29,30,30.0,V00337,482855.25,482855.25,2025-12-30,2025-12-30,PO0000175,EUR,CT000337,2026-01-29,30,V00337,482855.25,2025-12-30,PO0000175,EUR,CT000337
INV00000114,2026-04-10,2026-04-10,90,90.0,V00365,16759.35,16759.35,2026-01-09,2026-01-09,PO0000969,MXN,CT000365,2026-04-10,90,V00365,16759.35,2026-01-09,PO0000969,MXN,CT000365
INV00000115,2025-07-16,2025-07-16,90,90.0,V00108,1810.01,1810.01,2025-04-13,2025-04-13,PO0001227,USD,CT000108,2025-07-16,90,V00108,1810.01,2025-04-13,PO0001227,USD,CT000108
INV00000116,2026-02-18,2026-02-18,30,30.0,V00105,4605.20,4605.2,2026-01-12,2026-01-12,PO0000254,INR,CT000105,2026-02-18,30,V00105,4605.2,2026-01-12,PO0000254,INR,CT000105
INV00000117,2026-02-25,2026-02-25,,,V00085,19675.67,19675.67,11/01/2026,2026-01-11,PO0000783,BRL,CT000085,2026-02-25,45,V00085,19675.67,2026-01-11,PO0000783,BRL,CT000085
INV00000118,2025-03-05,2025-03-05,30,30.0,V00024,24865.64,24865.64,2025-01-28,2025-01-28,PO0000198,GBP,CT000024,2025-03-05,30,V00024,24865.64,2025-01-28,PO0000198,GBP,CT000024
INV00000119,2025-07-22,2025-07-22,60,60.0,V00284,19748.52,19748.52,23/05/2025,2025-05-23,PO0001184,BRL,CT000284,2025-07-22,60,V00284,19748.52,2025-05-23,PO0001184,BRL,CT000284
INV00000120,2025-03-11,2025-03-11,60,60.0,V00405,16869.97,16869.97,,,PO0001096,ZAR,CT000405,2025-03-11,60,V00405,16869.97,2025-01-07,PO0001096,ZAR,CT000405
INV00000121,2026-05-12,2026-05-12,,,V00258,38744.10,38744.1,2026-03-27,2026-03-27,PO0000293,INR,CT000258,2026-05-12,45,V00258,38744.1,2026-03-27,PO0000293,INR,CT000258
INV00000122,05/10/2025,2025-10-05,60,60.0,V00026,46560.34,46560.34,2025-08-03,2025-08-03,PO0000013,BRL,CT000026,2025-10-05,60,V00026,46560.34,2025-08-03,PO0000013,BRL,CT000026
INV00000123,2025-06-25,2025-06-25,45,45.0,V00239,10577.90,10577.9,2025-05-04,2025-05-04,PO0000060,ZAR,CT000239,2025-06-25,45,V00239,10577.9,2025-05-04,PO0000060,ZAR,CT000239
INV00000124,2026-04-13,2026-04-13,60,60.0,V00380,25858.44,25858.44,2026-02-11,2026-02-11,PO0000432,ZAR,CT000380,2026-04-13,60,V00380,25858.44,2026-02-11,PO0000432,ZAR,CT000380
INV00000125,2025-12-13,2025-12-13,30,30.0,V00022,50314.93,50314.93,2025-11-08,2025-11-08,PO0001071,USD,CT000022,2025-12-13,30,V00022,50314.93,2025-11-08,PO0001071,USD,CT000022
INV00000126,2026-04-20,2026-04-20,45,45.0,V00258,39937.81,39937.81,2026-03-04,2026-03-04,PO0000293,,CT000258,2026-04-20,45,V00258,39937.81,2026-03-04,PO0000293,IDR,CT000258
