contract_id,vendor_id,contract_payment_term,agreement_type,contract_start_date,contract_end_date
CT000325,V00325,45,Standard,2024-05-09,2027-05-07
CT000326,V00326,45,Strategic,2024-01-06,2027-03-29
CT000327,V00327,60,Strategic,2024-04-25,2027-06-16
CT000328,V00328,45,Strategic,2024-06-04,2027-07-05
CT000329,V00329,60,Standard,2024-05-21,2027-06-17
CT000330,V00330,60,Standard,2024-02-25,2027-10-31
CT000331,V00331,30,Strategic,2024-06-10,2027-01-17
CT000332,V00332,30,Standard,2024-03-06,2027-07-12
CT000333,V00333,30,Standard,2024-05-02,2027-06-07
CT000334,V00334,45,Standard,2024-04-01,2027-03-18
CT000335,V00335,60,Standard,2024-01-13,2027-08-22
CT000336,V00336,30,Strategic,2024-01-01,2027-10-20
CT000337,V00337,30,Standard,2024-02-02,2027-07-19
CT000338,V00338,90,Exception,2024-06-17,2027-02-01
CT000339,V00339,30,Standard,2024-06-20,2027-01-28
CT000340,V00340,45,Standard,2024-03-14,2027-06-03
CT000341,V00341,60,Standard,2024-06-23,2027-09-01
CT000342,V00342,30,Standard,2024-01-09,2027-04-25
CT000343,V00343,30,Standard,2024-06-23,2027-04-23
CT000344,V00344,30,Standard,2024-02-11,2027-11-10
CT000345,V00345,90,Standard,2024-01-07,2027-01-06
CT000346,V00346,30,Strategic,2024-05-16,2027-01-30
CT000347,V00347,30,Standard,2024-03-09,2027-02-26
CT000348,V00348,30,Standard,2024-02-22,2027-12-26
CT000349,V00349,30,Standard,2024-05-16,2027-07-01
CT000350,V00350,60,Strategic,2024-02-29,2027-02-27
CT000351,V00351,30,Standard,2024-05-15,2027-04-24
CT000352,V00352,45,Standard,2024-02-05,2027-12-20
CT000353,V00353,45,Standard,2024-01-16,2027-09-11
CT000354,V00354,60,Standard,2024-02-28,2027-03-23
CT000355,V00355,30,Standard,2024-04-19,2027-03-29
CT000356,V00356,60,Standard,2024-02-10,2027-01-28
CT000357,V00357,45,Exception,2024-01-26,2027-10-10
CT000358,V00358,30,Standard,2024-05-14,2027-02-20
CT000359,V00359,60,Standard,2024-03-29,2027-04-15
CT000360,V00360,60,Standard,2024-03-18,2027-05-08
CT000361,V00361,90,Standard,2024-02-13,2027-08-15
CT000362,V00362,90,Standard,2024-01-04,2027-08-10
CT000363,V00363,45,Standard,2024-01-10,2027-10-19
CT000364,V00364,60,Standard,2024-05-02,2027-04-19
CT000365,V00365,90,Standard,2024-01-15,2027-05-21
CT000366,V00366,30,Standard,2024-02-14,2027-05-22
CT000367,V00367,60,Strategic,2024-06-12,2027-01-18
CT000368,V00368,30,Standard,2024-03-02,2027-09-27
CT000369,V00369,60,Standard,2024-05-14,2027-07-15
CT000370,V00370,45,Exception,2024-03-02,2027-06-23
CT000371,V00371,30,Strategic,2024-06-16,2027-12-30
CT000372,V00372,30,Standard,2024-05-27,2027-03-07
CT000373,V00373,30,Strategic,2024-03-25,2027-12-20
CT000374,V00374,30,Standard,2024-05-03,2027-09-06
CT000375,V00375,60,Standard,2024-03-15,2027-03-22
CT000376,V00376,30,Strategic,2024-06-18,2027-09-05
CT000377,V00377,30,Strategic,2024-03-05,2027-10-03
CT000378,V00378,30,Standard,2024-05-30,2027-05-13
CT000379,V00379,60,Standard,2024-04-20,2027-05-06
CT000380,V00380,60,Standard,2024-04-25,2027-11-01
CT000381,V00381,60,Standard,2024-03-04,2027-02-28
CT000382,V00382,30,Exception,2024-05-29,2027-01-05
CT000383,V00383,60,Standard,2024-05-14,2027-09-01
CT000384,V00384,45,Standard,2024-05-26,2027-11-27
CT000385,V00385,60,Standard,2024-05-24,2027-07-02
CT000386,V00386,30,Standard,2024-01-29,2027-02-19
CT000387,V00387,60,Standard,2024-06-06,2027-07-16
CT000388,V00388,30,Exception,2024-05-31,2027-04-02
CT000389,V00389,45,Standard,2024-02-13,2027-10-29
CT000390,V00390,60,Standard,2024-06-25,2027-08-12
CT000391,V00391,30,Standard,2024-04-04,2027-05-03
CT000392,V00392,30,Standard,2024-02-27,2027-08-16
CT000393,V00393,90,Standard,2024-02-10,2027-09-01
CT000394,V00394,45,Standard,2024-03-06,2027-09-05
CT000395,V00395,90,Standard,2024-01-07,2027-05-14
CT000396,V00396,60,Standard,2024-05-04,2027-07-28
CT000397,V00397,60,Strategic,2024-05-07,2027-01-16
CT000398,V00398,45,Standard,2024-04-30,2027-05-28
CT000399,V00399,60,Standard,2024-04-08,2027-05-18
CT000400,V00400,30,Standard,2024-03-06,2027-07-15
CT000401,V00401,30,Standard,2024-05-10,2027-12-13
CT000402,V00402,45,Strategic,2024-06-05,2027-12-15
CT000403,V00403,30,Standard,2024-01-16,2027-06-26
CT000404,V00404,60,Standard,2024-03-09,2027-08-24
CT000405,V00405,60,Standard,2024-06-28,2027-02-09
CT000406,V00406,30,Strategic,2024-06-04,2027-06-26
CT000407,V00407,45,Standard,2024-06-27,2027-09-09
CT000408,V00408,30,Standard,2024-02-02,2027-09-07
CT000409,V00409,60,Standard,2024-03-24,2027-12-18
CT000410,V00410,30,Standard,2024-01-24,2027-06-20
CT000411,V00411,60,Strategic,2024-06-04,2027-11-28
CT000412,V00412,30,Standard,2024-04-03,2027-12-24
CT000413,V00413,30,Standard,2024-02-13,2027-07-28
CT000414,V00414,60,Standard,2024-01-17,2027-02-03
CT000415,V00415,30,Strategic,2024-05-12,2027-05-18
CT000416,V00416,45,Standard,2024-05-26,2027-10-07
CT000417,V00417,60,Standard,2024-06-07,2027-07-31
CT000418,V00418,90,Exception,2024-06-23,2027-12-08
CT000419,V00419,30,Standard,2024-05-26,2027-10-25
CT000420,V00420,45,Strategic,2024-05-21,2027-01-24
