invoice_id,upr_flag,upr_reason,upr_approval_status,upr_requested_by,upr_documented_flag
INV00000052,0,None,Not Applicable,None,0
INV00000053,0,None,Not Applicable,None,0
INV00000054,0,None,Not Applicable,None,0
INV00000055,0,None,Not Applicable,None,0
INV00000056,0,None,Not Applicable,None,0
INV00000057,0,None,Not Applicable,None,0
INV00000058,0,None,Not Applicable,None,0
INV00000059,1,Port clearance,Pending,Procurement,1
INV00000060,0,None,Not Applicable,None,0
INV00000061,0,None,Not Applicable,None,0
INV00000062,1,Urgent production need,Approved,Procurement,0
INV00000063,0,None,Not Applicable,None,0
INV00000064,1,Critical supply continuity,Approved,Finance Lead,1
INV00000065,0,None,Not Applicable,None,0
INV00000066,0,None,Not Applicable,None,0
INV00000067,0,None,Not Applicable,None,0
INV00000068,0,None,Not Applicable,None,0
INV00000069,0,None,Not Applicable,None,0
INV00000070,0,None,Not Applicable,None,0
INV00000071,0,None,Not Applicable,None,0
INV00000072,1,Critical supply continuity,Pending,Plant Manager,1
INV00000073,0,None,Not Applicable,None,0
INV00000074,0,None,Not Applicable,None,0
INV00000075,0,None,Not Applicable,None,0
INV00000076,0,None,Not Applicable,None,0
INV00000077,0,None,Not Applicable,None,0
INV00000078,0,None,Not Applicable,None,0
INV00000079,0,None,Not Applicable,None,0
INV00000080,0,None,Not Applicable,None,0
INV00000081,0,None,Not Applicable,None,0
INV00000082,0,None,Not Applicable,None,0
INV00000083,1,Legal settlement,Approved,Finance Lead,1
INV00000084,1,Executive exception,Approved,Plant Manager,1
INV00000085,0,None,Not Applicable,None,0
INV00000086,0,None,Not Applicable,None,0
INV00000087,0,None,Not Applicable,None,0
INV00000088,0,None,Not Applicable,None,0
INV00000089,0,None,Not Applicable,None,0
INV00000090,0,None,Not Applicable,None,0
INV00000091,0,None,Not Applicable,None,0
INV00000092,0,None,Not Applicable,None,0
INV00000093,0,None,Not Applicable,None,0
INV00000094,0,None,Not Applicable,None,0
INV00000095,0,None,Not Applicable,None,0
INV00000096,1,Legal settlement,Approved,Finance Lead,1
INV00000097,0,None,Not Applicable,None,0
INV00000098,1,Port clearance,Rejected,Plant Manager,1
INV00000099,0,None,Not Applicable,None,0
INV00000100,0,None,Not Applicable,None,0
INV00000101,0,None,Not Applicable,None,0
INV00000102,0,None,Not Applicable,None,0
INV00000103,0,None,Not Applicable,None,0
INV00000104,0,None,Not Applicable,None,0
INV00000105,0,None,Not Applicable,None,0
INV00000106,0,None,Not Applicable,None,0
INV00000107,0,None,Not Applicable,None,0
INV00000108,0,None,Not Applicable,None,0
INV00000109,0,None,Not Applicable,None,0
INV00000110,0,None,Not Applicable,None,0
INV00000111,0,None,Not Applicable,None,0
INV00000112,0,None,Not Applicable,None,0
INV00000113,0,None,Not Applicable,None,0
INV00000114,0,None,Not Applicable,None,0
INV00000115,0,None,Not Applicable,None,0
INV00000116,0,None,Not Applicable,None,0
INV00000117,1,Urgent production need,Approved,Business Unit,1
INV00000118,0,None,Not Applicable,None,0
INV00000119,0,None,Not Applicable,None,0
INV00000120,0,None,Not Applicable,None,0
INV00000121,0,None,Not Applicable,None,0
INV00000122,0,None,Not Applicable,None,0
INV00000123,0,None,Not Applicable,None,0
INV00000124,0,None,Not Applicable,None,0
INV00000125,1,Port clearance,Approved,Procurement,1
INV00000126,0,None,Not Applicable,None,0
INV00000127,0,None,Not Applicable,None,0
INV00000128,0,None,Not Applicable,None,0
INV00000129,0,None,Not Applicable,None,0
INV00000130,0,None,Not Applicable,None,0
INV00000131,0,None,Not Applicable,None,0
INV00000132,0,None,Not Applicable,None,0
INV00000133,0,None,Not Applicable,None,0
INV00000134,0,None,Not Applicable,None,0
INV00000135,0,None,Not Applicable,None,0
INV00000136,0,None,Not Applicable,None,0
INV00000137,0,None,Not Applicable,None,0
INV00000138,0,None,Not Applicable,None,0
INV00000139,1,Legal settlement,Pending,Plant Manager,0
INV00000140,0,None,Not Applicable,None,0
INV00000141,0,None,Not Applicable,None,0
INV00000142,0,None,Not Applicable,None,0
INV00000143,0,None,Not Applicable,None,0
INV00000144,0,None,Not Applicable,None,0
INV00000145,0,None,Not Applicable,None,0
INV00000146,0,None,Not Applicable,None,0
INV00000147,1,Legal settlement,Pending,Business Unit,1
INV00000148,0,None,Not Applicable,None,0
INV00000149,0,None,Not Applicable,None,0
INV00000150,0,None,Not Applicable,None,0
INV00000151,0,None,Not Applicable,None,0
INV00000152,0,None,Not Applicable,None,0
INV00000153,0,None,Not Applicable,None,0
INV00000154,0,None,Not Applicable,None,0
INV00000155,0,None,Not Applicable,None,0
INV00000156,0,None,Not Applicable,None,0
INV00000157,0,None,Not Applicable,None,0
INV00000158,1,Legal settlement,Approved,Plant Manager,1
INV00000159,1,Executive exception,Pending,Finance Lead,1
INV00000160,1,Legal settlement,Approved,Plant Manager,1
INV00000161,0,None,Not Applicable,None,0
INV00000162,0,None,Not Applicable,None,0
INV00000163,0,None,Not Applicable,None,0
INV00000164,0,None,Not Applicable,None,0
INV00000165,0,None,Not Applicable,None,0
INV00000166,0,None,Not Applicable,None,0
INV00000167,0,None,Not Applicable,None,0
INV00000168,0,None,Not Applicable,None,0
INV00000169,0,None,Not Applicable,None,0
INV00000170,0,None,Not Applicable,None,0
INV00000171,0,None,Not Applicable,None,0
INV00000172,0,None,Not Applicable,None,0
INV00000173,0,None,Not Applicable,None,0
INV00000174,1,Executive exception,Approved,Business Unit,1
INV00000175,0,None,Not Applicable,None,0
INV00000176,0,None,Not Applicable,None,0
INV00000177,1,Legal settlement,Approved,Business Unit,1
INV00000178,0,None,Not Applicable,None,0
INV00000179,0,None,Not Applicable,None,0
INV00000180,0,None,Not Applicable,None,0
INV00000181,1,Executive exception,Approved,Business Unit,1
INV00000182,0,None,Not Applicable,None,0
INV00000183,0,None,Not Applicable,None,0
INV00000184,0,None,Not Applicable,None,0
INV00000185,0,None,Not Applicable,None,0
INV00000186,1,Executive exception,Approved,Plant Manager,1
INV00000187,0,None,Not Applicable,None,0
INV00000188,0,None,Not Applicable,None,0
INV00000189,1,Port clearance,Approved,Finance Lead,0
INV00000190,0,None,Not Applicable,None,0
INV00000191,0,None,Not Applicable,None,0
INV00000192,1,Urgent production need,Approved,Finance Lead,1
INV00000193,0,None,Not Applicable,None,0
INV00000194,0,None,Not Applicable,None,0
INV00000195,0,None,Not Applicable,None,0
INV00000196,0,None,Not Applicable,None,0
INV00000197,1,Critical supply continuity,Pending,Finance Lead,1
INV00000198,0,None,Not Applicable,None,0
INV00000199,0,None,Not Applicable,None,0
INV00000200,0,None,Not Applicable,None,0
INV00000201,0,None,Not Applicable,None,0
INV00000202,0,None,Not Applicable,None,0
INV00000203,0,None,Not Applicable,None,0
INV00000204,0,None,Not Applicable,None,0
INV00000205,0,None,Not Applicable,None,0
INV00000206,0,None,Not Applicable,None,0
INV00000207,0,None,Not Applicable,None,0
INV00000208,0,None,Not Applicable,None,0
INV00000209,0,None,Not Applicable,None,0
INV00000210,0,None,Not Applicable,None,0
INV00000211,0,None,Not Applicable,None,0
INV00000212,0,None,Not Applicable,None,0
INV00000213,1,Urgent production need,Approved,Business Unit,1
INV00000214,0,None,Not Applicable,None,0
INV00000215,0,None,Not Applicable,None,0
INV00000216,0,None,Not Applicable,None,0
INV00000217,1,Urgent production need,Approved,Plant Manager,1
INV00000218,0,None,Not Applicable,None,0
INV00000219,0,None,Not Applicable,None,0
INV00000220,0,None,Not Applicable,None,0
INV00000221,0,None,Not Applicable,None,0
INV00000222,0,None,Not Applicable,None,0
INV00000223,0,None,Not Applicable,None,0
INV00000224,0,None,Not Applicable,None,0
INV00000225,0,None,Not Applicable,None,0
INV00000226,0,None,Not Applicable,None,0
INV00000227,0,None,Not Applicable,None,0
INV00000228,0,None,Not Applicable,None,0
INV00000229,0,None,Not Applicable,None,0
INV00000230,0,None,Not Applicable,None,0
INV00000231,1,Critical supply continuity,Pending,Plant Manager,1
INV00000232,0,None,Not Applicable,None,0
INV00000233,0,None,Not Applicable,None,0
INV00000234,0,None,Not Applicable,None,0
INV00000235,0,None,Not Applicable,None,0
INV00000236,1,Legal settlement,Pending,Procurement,1
INV00000237,0,None,Not Applicable,None,0
INV00000238,0,None,Not Applicable,None,0
INV00000239,0,None,Not Applicable,None,0
INV00000240,0,None,Not Applicable,None,0
INV00000241,0,None,Not Applicable,None,0
INV00000242,0,None,Not Applicable,None,0
INV00000243,0,None,Not Applicable,None,0
INV00000244,0,None,Not Applicable,None,0
INV00000245,0,None,Not Applicable,None,0
INV00000246,1,Port clearance,Pending,Plant Manager,1
INV00000247,0,None,Not Applicable,None,0
INV00000248,0,None,Not Applicable,None,0
INV00000249,0,None,Not Applicable,None,0
INV00000250,0,None,Not Applicable,None,0
INV00000251,0,None,Not Applicable,None,0
INV00000252,0,None,Not Applicable,None,0
INV00000253,0,None,Not Applicable,None,0
INV00000254,0,None,Not Applicable,None,0
INV00000255,0,None,Not Applicable,None,0
INV00000256,1,Legal settlement,Approved,Finance Lead,1
INV00000257,0,None,Not Applicable,None,0
INV00000258,1,Executive exception,Pending,Business Unit,0
INV00000259,0,None,Not Applicable,None,0
INV00000260,0,None,Not Applicable,None,0
INV00000261,0,None,Not Applicable,None,0
INV00000262,0,None,Not Applicable,None,0
INV00000263,0,None,Not Applicable,None,0
INV00000264,0,None,Not Applicable,None,0
INV00000265,0,None,Not Applicable,None,0
INV00000266,0,None,Not Applicable,None,0
INV00000267,0,None,Not Applicable,None,0
INV00000268,0,None,Not Applicable,None,0
INV00000269,0,None,Not Applicable,None,0
INV00000270,0,None,Not Applicable,None,0
INV00000271,0,None,Not Applicable,None,0
INV00000272,0,None,Not Applicable,None,0
INV00000273,0,None,Not Applicable,None,0
INV00000274,0,None,Not Applicable,None,0
INV00000275,0,None,Not Applicable,None,0
INV00000276,0,None,Not Applicable,None,0
INV00000277,0,None,Not Applicable,None,0
INV00000278,1,Legal settlement,Pending,Procurement,1
INV00000279,0,None,Not Applicable,None,0
INV00000280,1,Legal settlement,Approved,Procurement,1
INV00000281,1,Urgent production need,Pending,Business Unit,1
INV00000282,0,None,Not Applicable,None,0
INV00000283,0,None,Not Applicable,None,0
INV00000284,0,None,Not Applicable,None,0
INV00000285,0,None,Not Applicable,None,0
INV00000286,0,None,Not Applicable,None,0
INV00000287,0,None,Not Applicable,None,0
INV00000288,0,None,Not Applicable,None,0
INV00000289,0,None,Not Applicable,None,0
INV00000290,0,None,Not Applicable,None,0
INV00000291,0,None,Not Applicable,None,0
INV00000292,0,None,Not Applicable,None,0
INV00000293,1,Legal settlement,Approved,Procurement,0
INV00000294,0,None,Not Applicable,None,0
INV00000295,0,None,Not Applicable,None,0
INV00000296,0,None,Not Applicable,None,0
INV00000297,0,None,Not Applicable,None,0
INV00000298,0,None,Not Applicable,None,0
INV00000299,1,Critical supply continuity,Approved,Business Unit,1
INV00000300,0,None,Not Applicable,None,0
INV00000301,0,None,Not Applicable,None,0
INV00000302,1,Legal settlement,Approved,Business Unit,1
INV00000303,0,None,Not Applicable,None,0
INV00000304,0,None,Not Applicable,None,0
INV00000305,0,None,Not Applicable,None,0
INV00000306,0,None,Not Applicable,None,0
INV00000307,0,None,Not Applicable,None,0
INV00000308,0,None,Not Applicable,None,0
INV00000309,0,None,Not Applicable,None,0
INV00000310,0,None,Not Applicable,None,0
INV00000311,0,None,Not Applicable,None,0
INV00000312,0,None,Not Applicable,None,0
INV00000313,0,None,Not Applicable,None,0
INV00000314,0,None,Not Applicable,None,0
INV00000315,0,None,Not Applicable,None,0
INV00000316,0,None,Not Applicable,None,0
INV00000317,0,None,Not Applicable,None,0
INV00000318,0,None,Not Applicable,None,0
INV00000319,0,None,Not Applicable,None,0
INV00000320,1,Port clearance,Pending,Plant Manager,1
INV00000321,0,None,Not Applicable,None,0
INV00000322,0,None,Not Applicable,None,0
INV00000323,0,None,Not Applicable,None,0
INV00000324,0,None,Not Applicable,None,0
INV00000325,0,None,Not Applicable,None,0
INV00000326,0,None,Not Applicable,None,0
INV00000327,0,None,Not Applicable,None,0
INV00000328,1,Critical supply continuity,Approved,Business Unit,1
INV00000329,0,None,Not Applicable,None,0
INV00000330,0,None,Not Applicable,None,0
INV00000331,0,None,Not Applicable,None,0
INV00000332,0,None,Not Applicable,None,0
INV00000333,0,None,Not Applicable,None,0
INV00000334,0,None,Not Applicable,None,0
INV00000335,0,None,Not Applicable,None,0
INV00000336,0,None,Not Applicable,None,0
INV00000337,0,None,Not Applicable,None,0
INV00000338,0,None,Not Applicable,None,0
INV00000339,0,None,Not Applicable,None,0
INV00000340,0,None,Not Applicable,None,0
INV00000341,0,None,Not Applicable,None,0
INV00000342,0,None,Not Applicable,None,0
INV00000343,0,None,Not Applicable,None,0
INV00000344,0,None,Not Applicable,None,0
INV00000345,1,Urgent production need,Pending,Plant Manager,1
INV00000346,0,None,Not Applicable,None,0
INV00000347,0,None,Not Applicable,None,0
INV00000348,0,None,Not Applicable,None,0
INV00000349,0,None,Not Applicable,None,0
INV00000350,1,Critical supply continuity,Approved,Business Unit,1
INV00000351,1,Legal settlement,Pending,Finance Lead,1
INV00000352,0,None,Not Applicable,None,0
INV00000353,0,None,Not Applicable,None,0
INV00000354,0,None,Not Applicable,None,0
INV00000355,0,None,Not Applicable,None,0
INV00000356,0,None,Not Applicable,None,0
INV00000357,0,None,Not Applicable,None,0
INV00000358,0,None,Not Applicable,None,0
INV00000359,0,None,Not Applicable,None,0
INV00000360,1,Legal settlement,Approved,Business Unit,0
INV00000361,0,None,Not Applicable,None,0
INV00000362,0,None,Not Applicable,None,0
INV00000363,0,None,Not Applicable,None,0
INV00000364,0,None,Not Applicable,None,0
INV00000365,1,Critical supply continuity,Approved,Procurement,1
INV00000366,0,None,Not Applicable,None,0
INV00000367,0,None,Not Applicable,None,0
INV00000368,0,None,Not Applicable,None,0
INV00000369,0,None,Not Applicable,None,0
INV00000370,0,None,Not Applicable,None,0
INV00000371,1,Critical supply continuity,Approved,Business Unit,1
INV00000372,0,None,Not Applicable,None,0
INV00000373,0,None,Not Applicable,None,0
INV00000374,0,None,Not Applicable,None,0
INV00000375,0,None,Not Applicable,None,0
INV00000376,0,None,Not Applicable,None,0
INV00000377,0,None,Not Applicable,None,0
INV00000378,1,Port clearance,Approved,Business Unit,1
INV00000379,0,None,Not Applicable,None,0
INV00000380,0,None,Not Applicable,None,0
INV00000381,0,None,Not Applicable,None,0
INV00000382,0,None,Not Applicable,None,0
INV00000383,0,None,Not Applicable,None,0
INV00000384,0,None,Not Applicable,None,0
INV00000385,0,None,Not Applicable,None,0
INV00000386,0,None,Not Applicable,None,0
INV00000387,1,Executive exception,Pending,Plant Manager,1
INV00000388,0,None,Not Applicable,None,0
INV00000389,0,None,Not Applicable,None,0
INV00000390,0,None,Not Applicable,None,0
INV00000391,0,None,Not Applicable,None,0
INV00000392,0,None,Not Applicable,None,0
INV00000393,0,None,Not Applicable,None,0
INV00000394,1,Executive exception,Approved,Finance Lead,1
INV00000395,0,None,Not Applicable,None,0
INV00000396,0,None,Not Applicable,None,0
INV00000397,0,None,Not Applicable,None,0
INV00000398,0,None,Not Applicable,None,0
INV00000399,0,None,Not Applicable,None,0
INV00000400,0,None,Not Applicable,None,0
INV00000401,0,None,Not Applicable,None,0
INV00000402,0,None,Not Applicable,None,0
INV00000403,0,None,Not Applicable,None,0
INV00000404,1,Legal settlement,Approved,Procurement,0
INV00000405,0,None,Not Applicable,None,0
INV00000406,0,None,Not Applicable,None,0
INV00000407,0,None,Not Applicable,None,0
INV00000408,0,None,Not Applicable,None,0
INV00000409,0,None,Not Applicable,None,0
INV00000410,0,None,Not Applicable,None,0
INV00000411,0,None,Not Applicable,None,0
INV00000412,0,None,Not Applicable,None,0
INV00000413,0,None,Not Applicable,None,0
INV00000414,0,None,Not Applicable,None,0
INV00000415,0,None,Not Applicable,None,0
INV00000416,0,None,Not Applicable,None,0
INV00000417,0,None,Not Applicable,None,0
INV00000418,0,None,Not Applicable,None,0
INV00000419,0,None,Not Applicable,None,0
INV00000420,0,None,Not Applicable,None,0
INV00000421,1,Legal settlement,Approved,Finance Lead,1
INV00000422,0,None,Not Applicable,None,0
INV00000423,0,None,Not Applicable,None,0
INV00000424,0,None,Not Applicable,None,0
INV00000425,0,None,Not Applicable,None,0
INV00000426,0,None,Not Applicable,None,0
INV00000427,0,None,Not Applicable,None,0
INV00000428,0,None,Not Applicable,None,0
INV00000429,0,None,Not Applicable,None,0
INV00000430,0,None,Not Applicable,None,0
INV00000431,0,None,Not Applicable,None,0
INV00000432,0,None,Not Applicable,None,0
INV00000433,0,None,Not Applicable,None,0
INV00000434,1,Urgent production need,Approved,Plant Manager,1
INV00000435,0,None,Not Applicable,None,0
INV00000436,0,None,Not Applicable,None,0
INV00000437,0,None,Not Applicable,None,0
INV00000438,0,None,Not Applicable,None,0
INV00000439,0,None,Not Applicable,None,0
INV00000440,0,None,Not Applicable,None,0
INV00000441,0,None,Not Applicable,None,0
INV00000442,0,None,Not Applicable,None,0
INV00000443,1,Critical supply continuity,Approved,Business Unit,1
INV00000444,1,Critical supply continuity,Approved,Finance Lead,0
INV00000445,0,None,Not Applicable,None,0
INV00000446,0,None,Not Applicable,None,0
INV00000447,0,None,Not Applicable,None,0
INV00000448,0,None,Not Applicable,None,0
INV00000449,1,Executive exception,Approved,Plant Manager,1
INV00000450,0,None,Not Applicable,None,0
INV00000451,0,None,Not Applicable,None,0
INV00000452,0,None,Not Applicable,None,0
INV00000453,0,None,Not Applicable,None,0
INV00000454,0,None,Not Applicable,None,0
INV00000455,0,None,Not Applicable,None,0
INV00000456,0,None,Not Applicable,None,0
INV00000457,0,None,Not Applicable,None,0
INV00000458,0,None,Not Applicable,None,0
INV00000459,1,Critical supply continuity,Approved,Finance Lead,0
INV00000460,0,None,Not Applicable,None,0
INV00000461,0,None,Not Applicable,None,0
INV00000462,0,None,Not Applicable,None,0
INV00000463,1,Executive exception,Pending,Procurement,1
INV00000464,0,None,Not Applicable,None,0
INV00000465,1,Executive exception,Approved,Plant Manager,1
INV00000466,0,None,Not Applicable,None,0
INV00000467,1,Legal settlement,Approved,Business Unit,0
INV00000468,0,None,Not Applicable,None,0
INV00000469,0,None,Not Applicable,None,0
INV00000470,0,None,Not Applicable,None,0
INV00000471,0,None,Not Applicable,None,0
INV00000472,0,None,Not Applicable,None,0
INV00000473,0,None,Not Applicable,None,0
INV00000474,0,None,Not Applicable,None,0
INV00000475,0,None,Not Applicable,None,0
INV00000476,0,None,Not Applicable,None,0
INV00000477,0,None,Not Applicable,None,0
INV00000478,0,None,Not Applicable,None,0
INV00000479,1,Executive exception,Approved,Procurement,0
INV00000480,0,None,Not Applicable,None,0
INV00000481,0,None,Not Applicable,None,0
INV00000482,0,None,Not Applicable,None,0
INV00000483,0,None,Not Applicable,None,0
INV00000484,0,None,Not Applicable,None,0
INV00000485,0,None,Not Applicable,None,0
INV00000486,0,None,Not Applicable,None,0
INV00000487,1,Executive exception,Pending,Business Unit,1
INV00000488,0,None,Not Applicable,None,0
INV00000489,0,None,Not Applicable,None,0
INV00000490,0,None,Not Applicable,None,0
INV00000491,0,None,Not Applicable,None,0
INV00000492,0,None,Not Applicable,None,0
INV00000493,0,None,Not Applicable,None,0
INV00000494,0,None,Not Applicable,None,0
INV00000495,0,None,Not Applicable,None,0
INV00000496,0,None,Not Applicable,None,0
INV00000497,0,None,Not Applicable,None,0
INV00000498,0,None,Not Applicable,None,0
INV00000499,1,Legal settlement,Pending,Procurement,0
INV00000500,0,None,Not Applicable,None,0
INV00000501,0,None,Not Applicable,None,0
INV00000502,0,None,Not Applicable,None,0
INV00000503,0,None,Not Applicable,None,0
INV00000504,0,None,Not Applicable,None,0
INV00000505,0,None,Not Applicable,None,0
INV00000506,0,None,Not Applicable,None,0
INV00000507,0,None,Not Applicable,None,0
INV00000508,0,None,Not Applicable,None,0
INV00000509,0,None,Not Applicable,None,0
INV00000510,0,None,Not Applicable,None,0
INV00000511,0,None,Not Applicable,None,0
INV00000512,0,None,Not Applicable,None,0
INV00000513,0,None,Not Applicable,None,0
INV00000514,0,None,Not Applicable,None,0
INV00000515,0,None,Not Applicable,None,0
INV00000516,0,None,Not Applicable,None,0
INV00000517,1,Executive exception,Approved,Finance Lead,1
INV00000518,0,None,Not Applicable,None,0
INV00000519,0,None,Not Applicable,None,0
INV00000520,0,None,Not Applicable,None,0
INV00000521,0,None,Not Applicable,None,0
INV00000522,1,Urgent production need,Rejected,Plant Manager,0
INV00000523,0,None,Not Applicable,None,0
INV00000524,0,None,Not Applicable,None,0
INV00000525,0,None,Not Applicable,None,0
INV00000526,1,Executive exception,Approved,Finance Lead,0
INV00000527,0,None,Not Applicable,None,0
INV00000528,0,None,Not Applicable,None,0
INV00000529,0,None,Not Applicable,None,0
INV00000530,0,None,Not Applicable,None,0
INV00000531,0,None,Not Applicable,None,0
INV00000532,0,None,Not Applicable,None,0
INV00000533,0,None,Not Applicable,None,0
INV00000534,1,Legal settlement,Approved,Business Unit,1
INV00000535,0,None,Not Applicable,None,0
INV00000536,0,None,Not Applicable,None,0
INV00000537,1,Critical supply continuity,Approved,Plant Manager,1
INV00000538,1,Urgent production need,Approved,Procurement,0
INV00000539,0,None,Not Applicable,None,0
INV00000540,0,None,Not Applicable,None,0
INV00000541,0,None,Not Applicable,None,0
INV00000542,0,None,Not Applicable,None,0
INV00000543,0,None,Not Applicable,None,0
INV00000544,0,None,Not Applicable,None,0
INV00000545,0,None,Not Applicable,None,0
INV00000546,0,None,Not Applicable,None,0
INV00000547,0,None,Not Applicable,None,0
INV00000548,0,None,Not Applicable,None,0
INV00000549,0,None,Not Applicable,None,0
INV00000550,0,None,Not Applicable,None,0
INV00000551,0,None,Not Applicable,None,0
INV00000552,0,None,Not Applicable,None,0
INV00000553,1,Port clearance,Pending,Business Unit,1
INV00000554,0,None,Not Applicable,None,0
INV00000555,0,None,Not Applicable,None,0
INV00000556,0,None,Not Applicable,None,0
INV00000557,0,None,Not Applicable,None,0
INV00000558,0,None,Not Applicable,None,0
INV00000559,0,None,Not Applicable,None,0
INV00000560,0,None,Not Applicable,None,0
INV00000561,0,None,Not Applicable,None,0
INV00000562,0,None,Not Applicable,None,0
INV00000563,0,None,Not Applicable,None,0
INV00000564,0,None,Not Applicable,None,0
INV00000565,0,None,Not Applicable,None,0
INV00000566,0,None,Not Applicable,None,0
INV00000567,0,None,Not Applicable,None,0
INV00000568,0,None,Not Applicable,None,0
INV00000569,0,None,Not Applicable,None,0
INV00000570,0,None,Not Applicable,None,0
INV00000571,0,None,Not Applicable,None,0
INV00000572,0,None,Not Applicable,None,0
INV00000573,0,None,Not Applicable,None,0
INV00000574,0,None,Not Applicable,None,0
INV00000575,0,None,Not Applicable,None,0
INV00000576,0,None,Not Applicable,None,0
INV00000577,0,None,Not Applicable,None,0
INV00000578,1,Legal settlement,Pending,Business Unit,1
INV00000579,0,None,Not Applicable,None,0
INV00000580,0,None,Not Applicable,None,0
INV00000581,0,None,Not Applicable,None,0
INV00000582,0,None,Not Applicable,None,0
INV00000583,0,None,Not Applicable,None,0
INV00000584,0,None,Not Applicable,None,0
INV00000585,0,None,Not Applicable,None,0
INV00000586,0,None,Not Applicable,None,0
INV00000587,1,Urgent production need,Approved,Procurement,0
INV00000588,1,Critical supply continuity,Pending,Plant Manager,1
INV00000589,0,None,Not Applicable,None,0
INV00000590,0,None,Not Applicable,None,0
INV00000591,0,None,Not Applicable,None,0
INV00000592,0,None,Not Applicable,None,0
INV00000593,0,None,Not Applicable,None,0
INV00000594,0,None,Not Applicable,None,0
INV00000595,0,None,Not Applicable,None,0
INV00000596,0,None,Not Applicable,None,0
INV00000597,0,None,Not Applicable,None,0
INV00000598,0,None,Not Applicable,None,0
INV00000599,0,None,Not Applicable,None,0
INV00000600,0,None,Not Applicable,None,0
INV00000601,0,None,Not Applicable,None,0
INV00000602,0,None,Not Applicable,None,0
INV00000603,0,None,Not Applicable,None,0
INV00000604,0,None,Not Applicable,None,0
INV00000605,0,None,Not Applicable,None,0
INV00000606,0,None,Not Applicable,None,0
INV00000607,0,None,Not Applicable,None,0
INV00000608,1,Urgent production need,Rejected,Procurement,1
INV00000609,0,None,Not Applicable,None,0
INV00000610,0,None,Not Applicable,None,0
INV00000611,0,None,Not Applicable,None,0
INV00000612,1,Critical supply continuity,Pending,Plant Manager,1
INV00000613,0,None,Not Applicable,None,0
INV00000614,0,None,Not Applicable,None,0
INV00000615,0,None,Not Applicable,None,0
INV00000616,1,Executive exception,Approved,Plant Manager,1
INV00000617,0,None,Not Applicable,None,0
INV00000618,0,None,Not Applicable,None,0
INV00000619,1,Urgent production need,Approved,Finance Lead,0
INV00000620,0,None,Not Applicable,None,0
INV00000621,0,None,Not Applicable,None,0
INV00000622,0,None,Not Applicable,None,0
INV00000623,0,None,Not Applicable,None,0
INV00000624,0,None,Not Applicable,None,0
INV00000625,0,None,Not Applicable,None,0
INV00000626,0,None,Not Applicable,None,0
INV00000627,0,None,Not Applicable,None,0
INV00000628,0,None,Not Applicable,None,0
INV00000629,0,None,Not Applicable,None,0
INV00000630,0,None,Not Applicable,None,0
INV00000631,0,None,Not Applicable,None,0
INV00000632,0,None,Not Applicable,None,0
INV00000633,0,None,Not Applicable,None,0
INV00000634,0,None,Not Applicable,None,0
INV00000635,0,None,Not Applicable,None,0
INV00000636,0,None,Not Applicable,None,0
INV00000637,0,None,Not Applicable,None,0
INV00000638,0,None,Not Applicable,None,0
