po_id,vendor_id,po_payment_term,po_amount,po_date,buying_team
PO0000133,V00140,45,276280.15,2025-06-26,Nutrition
PO0000134,V00402,45,39457.74,2026-01-08,Beauty
PO0000135,V00366,30,103579.25,2025-12-06,Ice Cream
PO0000136,V00130,45,19821.51,2025-05-22,Nutrition
PO0000137,V00205,30,9665.28,2026-02-03,Beauty
PO0000138,V00334,45,29748.79,2025-11-23,Ice Cream
PO0000139,V00096,30,10321.01,2025-02-23,Home Care
PO0000140,V00010,60,40638.54,2025-02-10,Beauty
PO0000141,V00122,45,20673.62,2025-02-23,Beauty
PO0000142,V00249,30,7622.57,2025-11-07,Foods
PO0000143,V00058,60,175539.85,2025-03-02,Nutrition
PO0000144,V00141,30,25414.43,2025-04-29,Nutrition
PO0000145,V00386,30,9976.86,2025-07-02,Ice Cream
PO0000146,V00032,60,86115.61,2025-02-26,Beauty
PO0000147,V00022,30,21604.95,2025-05-19,Foods
PO0000148,V00179,90,101381.02,2025-10-12,Ice Cream
PO0000149,V00006,60,21517.35,2026-02-13,Beauty
PO0000150,V00012,60,25342.47,2025-07-17,Ice Cream
PO0000151,V00077,45,53804.21,2025-11-10,Corporate
PO0000152,V00043,90,66452.09,2025-08-11,Foods
PO0000153,V00341,60,77127.19,2025-07-15,Ice Cream
PO0000154,V00052,45,37187.21,2025-08-07,Corporate
PO0000155,V00220,60,62901.43,2026-02-07,Home Care
PO0000156,V00297,45,75643.31,2025-01-25,Nutrition
PO0000157,V00263,30,47595.04,2025-08-04,Nutrition
PO0000158,V00275,90,35551.61,2025-01-22,Home Care
PO0000159,V00151,30,11748.72,2026-01-03,Beauty
PO0000160,V00374,60,66789.29,2025-09-10,Nutrition
PO0000161,V00029,30,41599.68,2025-01-20,Ice Cream
PO0000162,V00046,60,28238.08,2025-09-20,Home Care
PO0000163,V00360,60,118907.53,2025-07-03,Beauty
PO0000164,V00029,30,11924.39,2025-01-20,Nutrition
PO0000165,V00081,60,162337.19,2026-02-15,Beauty
PO0000166,V00073,60,39382.14,2025-06-08,Foods
PO0000167,V00014,60,52569.45,2025-01-10,Foods
PO0000168,V00050,45,28687.38,2025-09-15,Home Care
PO0000169,V00241,30,9730.18,2025-06-07,Foods
PO0000170,V00278,45,35643.84,2025-10-03,Home Care
PO0000171,V00035,30,53344.87,2025-03-10,Beauty
PO0000172,V00396,60,71309.98,2025-12-14,Home Care
PO0000173,V00041,45,33917.0,2025-06-26,Nutrition
PO0000174,V00289,45,6225.08,2025-06-26,Home Care
PO0000175,V00337,30,10824.72,2025-12-04,Ice Cream
PO0000176,V00219,30,229628.18,2025-08-19,Foods
PO0000177,V00207,60,15856.65,2025-01-01,Foods
PO0000178,V00046,60,134994.87,2025-08-31,Corporate
PO0000179,V00102,30,18142.75,2025-09-29,Ice Cream
PO0000180,V00358,30,34369.08,2025-05-12,Foods
PO0000181,V00147,60,68283.74,2025-03-17,Ice Cream
PO0000182,V00015,30,19986.95,2025-01-23,Foods
PO0000183,V00307,30,155341.76,2025-12-22,Foods
PO0000184,V00288,60,42803.24,2025-01-02,Home Care
PO0000185,V00028,60,59380.62,2025-09-03,Ice Cream
PO0000186,V00022,30,31969.39,2025-12-18,Ice Cream
PO0000187,V00049,45,70256.79,2025-05-28,Nutrition
PO0000188,V00022,30,153579.53,2025-03-26,Beauty
PO0000189,V00259,30,35896.93,2025-10-28,Beauty
PO0000190,V00056,90,174600.52,2025-09-22,Ice Cream
PO0000191,V00255,45,23864.41,2025-01-07,Corporate
PO0000192,V00074,30,76840.08,2025-08-31,Nutrition
PO0000193,V00409,60,60824.45,2025-01-01,Nutrition
PO0000194,V00305,30,16182.82,2025-06-17,Foods
PO0000195,V00158,60,48133.72,2025-05-08,Corporate
PO0000196,V00181,45,40386.91,2025-12-17,Corporate
PO0000197,V00028,60,19434.14,2026-02-15,Ice Cream
PO0000198,V00024,30,54409.94,2025-10-21,Home Care
PO0000199,V00226,60,45449.0,2025-11-05,Ice Cream
PO0000200,V00010,45,37733.41,2025-01-10,Ice Cream
PO0000201,V00269,60,37862.22,2025-01-27,Corporate
PO0000202,V00161,45,37178.7,2025-11-23,Foods
PO0000203,V00059,30,29361.96,2025-06-29,Ice Cream
PO0000204,V00225,60,45200.3,2025-08-01,Nutrition
PO0000205,V00233,60,23217.76,2025-10-18,Home Care
PO0000206,V00314,30,383957.85,2025-05-26,Corporate
PO0000207,V00084,45,12113.39,2025-10-14,Foods
PO0000208,V00230,30,24415.52,2025-11-02,Foods
PO0000209,V00355,30,26111.19,2025-04-11,Nutrition
PO0000210,V00114,60,227389.44,2025-10-16,Foods
PO0000211,V00351,30,13067.53,2025-03-13,Home Care
PO0000212,V00304,45,57643.57,2025-05-11,Beauty
PO0000213,V00181,60,49569.7,2025-11-24,Nutrition
PO0000214,V00371,30,53293.09,2026-02-17,Foods
PO0000215,V00407,45,114793.68,2025-01-28,Home Care
PO0000216,V00100,60,112809.4,2025-09-30,Corporate
PO0000217,V00412,45,27355.88,2025-08-28,Home Care
PO0000218,V00002,30,47330.72,2025-09-12,Ice Cream
PO0000219,V00055,30,8229.77,2025-11-27,Corporate
PO0000220,V00019,60,43661.81,2025-01-30,Ice Cream
PO0000221,V00155,60,20437.14,2025-11-07,Nutrition
PO0000222,V00394,90,34254.56,2025-04-28,Corporate
PO0000223,V00253,90,9580.01,2025-03-06,Ice Cream
PO0000224,V00259,30,56621.35,2025-07-07,Nutrition
PO0000225,V00036,30,9489.27,2025-01-12,Ice Cream
PO0000226,V00217,60,45526.14,2025-09-22,Nutrition
PO0000227,V00161,45,14150.0,2025-08-26,Ice Cream
PO0000228,V00202,45,19492.89,2025-08-04,Home Care
PO0000229,V00110,30,107100.43,2025-01-13,Ice Cream
PO0000230,V00085,45,66153.31,2025-11-17,Home Care
PO0000231,V00400,60,106598.28,2025-01-15,Home Care
PO0000232,V00235,60,151110.72,2025-04-21,Beauty
PO0000233,V00173,30,20807.88,2025-06-16,Home Care
PO0000234,V00031,30,143505.11,2025-10-22,Home Care
PO0000235,V00321,30,11548.61,2025-06-21,Ice Cream
PO0000236,V00199,45,75673.65,2025-12-09,Home Care
PO0000237,V00163,30,26387.96,2026-01-28,Home Care
PO0000238,V00281,30,18201.24,2025-11-18,Foods
PO0000239,V00056,90,67663.31,2025-01-17,Home Care
PO0000240,V00224,30,89608.8,2025-11-20,Home Care
PO0000241,V00363,45,87376.19,2025-03-28,Corporate
PO0000242,V00195,30,48176.71,2026-01-09,Home Care
PO0000243,V00001,60,44898.68,2026-02-16,Foods
PO0000244,V00097,45,62807.93,2025-02-05,Beauty
PO0000245,V00024,30,51958.44,2025-02-11,Nutrition
PO0000246,V00211,90,63586.25,2025-10-20,Foods
PO0000247,V00154,60,47734.02,2025-03-02,Foods
PO0000248,V00056,30,82155.27,2026-02-11,Home Care
PO0000249,V00289,45,10065.54,2025-08-15,Home Care
PO0000250,V00075,60,35897.31,2025-08-29,Home Care
PO0000251,V00144,60,12378.67,2025-12-28,Foods
PO0000252,V00415,60,50776.9,2025-04-02,Nutrition
PO0000253,V00028,90,162046.83,2025-08-22,Beauty
PO0000254,V00105,30,26823.35,2026-02-24,Nutrition
PO0000255,V00134,90,44719.47,2025-01-10,Ice Cream
PO0000256,V00214,60,76344.69,2025-03-15,Beauty
PO0000257,V00103,90,6921.83,2025-03-03,Home Care
PO0000258,V00408,30,25750.42,2025-05-21,Foods
PO0000259,V00003,30,54712.0,2025-02-24,Nutrition
PO0000260,V00399,60,3420.54,2025-03-14,Beauty
PO0000261,V00225,60,17495.74,2025-12-25,Home Care
PO0000262,V00017,30,102306.58,2025-07-15,Foods
PO0000263,V00049,30,94140.85,2025-05-31,Home Care
PO0000264,V00044,30,55169.77,2025-06-25,Home Care
PO0000265,V00121,90,84954.24,2026-02-12,Beauty
PO0000266,V00140,45,48186.71,2025-07-26,Corporate
PO0000267,V00270,45,64349.58,2025-07-16,Beauty
PO0000268,V00131,45,30690.07,2026-01-25,Beauty
PO0000269,V00305,60,44286.75,2025-01-16,Ice Cream
PO0000270,V00124,90,23446.7,2025-07-20,Beauty
PO0000271,V00111,45,117472.65,2025-11-11,Home Care
PO0000272,V00116,60,146286.97,2025-08-05,Nutrition
PO0000273,V00139,45,129693.06,2025-12-31,Foods
PO0000274,V00352,30,28370.57,2026-01-08,Ice Cream
PO0000275,V00104,60,17841.67,2025-05-22,Foods
PO0000276,V00115,30,118827.44,2025-12-10,Foods
PO0000277,V00402,45,63724.29,2025-04-13,Foods
PO0000278,V00275,90,53066.26,2025-04-11,Foods
PO0000279,V00081,60,23421.57,2026-02-15,Home Care
PO0000280,V00365,90,57630.9,2025-01-06,Corporate
PO0000281,V00077,45,15954.78,2025-05-29,Corporate
PO0000282,V00069,45,68799.59,2025-09-22,Foods
PO0000283,V00187,60,129580.0,2025-06-23,Corporate
PO0000284,V00291,90,160554.5,2025-12-21,Ice Cream
PO0000285,V00080,45,73294.84,2025-04-16,Ice Cream
PO0000286,V00317,30,12397.89,2025-08-21,Nutrition
PO0000287,V00066,30,47464.18,2025-02-22,Home Care
PO0000288,V00329,60,247392.02,2025-03-30,Beauty
PO0000289,V00041,45,19181.09,2025-03-14,Ice Cream
PO0000290,V00196,60,38165.82,2025-11-08,Nutrition
PO0000291,V00269,60,133451.81,2025-03-27,Nutrition
PO0000292,V00112,60,67816.71,2025-10-09,Beauty
PO0000293,V00258,45,330424.3,2025-05-26,Corporate
PO0000294,V00290,45,21526.95,2025-08-26,Beauty
PO0000295,V00274,30,17304.25,2026-01-03,Nutrition
PO0000296,V00167,30,113607.71,2025-12-29,Beauty
PO0000297,V00325,45,14523.21,2025-01-05,Foods
PO0000298,V00308,30,33953.5,2025-11-26,Corporate
PO0000299,V00138,45,37956.67,2026-02-06,Ice Cream
PO0000300,V00309,45,96818.28,2025-10-08,Beauty
PO0000301,V00386,30,67651.7,2025-03-20,Foods
PO0000302,V00344,45,59189.84,2025-10-07,Foods
PO0000303,V00308,30,28507.82,2025-09-25,Beauty
PO0000304,V00322,30,112730.29,2025-10-06,Corporate
PO0000305,V00338,90,1229293.82,2025-06-30,Beauty
PO0000306,V00122,45,72228.49,2025-08-09,Foods
PO0000307,V00303,30,43683.31,2025-10-01,Corporate
PO0000308,V00084,45,13317.26,2025-07-14,Corporate
PO0000309,V00151,30,23345.06,2025-11-21,Beauty
PO0000310,V00393,90,33468.04,2025-10-26,Ice Cream
PO0000311,V00119,30,25478.49,2025-05-08,Ice Cream
PO0000312,V00355,30,39590.08,2025-09-14,Ice Cream
PO0000313,V00178,60,181918.43,2025-11-14,Beauty
PO0000314,V00089,45,115854.67,2025-07-25,Nutrition
PO0000315,V00041,90,35066.17,2025-10-28,Corporate
PO0000316,V00231,30,14370.92,2025-02-23,Nutrition
PO0000317,V00190,45,125086.72,2025-06-12,Corporate
PO0000318,V00215,30,38495.78,2025-10-22,Foods
PO0000319,V00019,60,9250.89,2026-01-11,Ice Cream
PO0000320,V00113,30,73538.59,2025-09-29,Corporate
PO0000321,V00002,30,95974.1,2025-10-06,Ice Cream
PO0000322,V00128,30,5105.01,2025-05-24,Corporate
PO0000323,V00392,30,19913.01,2025-10-22,Home Care
PO0000324,V00064,30,36538.22,2025-05-30,Corporate
PO0000325,V00290,45,74931.85,2025-01-22,Corporate
PO0000326,V00003,30,25890.09,2025-04-14,Ice Cream
PO0000327,V00236,30,19785.0,2025-09-14,Nutrition
PO0000328,V00387,60,74465.7,2026-02-09,Ice Cream
PO0000329,V00144,90,26955.05,2025-07-28,Beauty
PO0000330,V00083,90,63624.03,2025-12-28,Ice Cream
PO0000331,V00240,30,15602.89,2025-11-23,Corporate
PO0000332,V00118,30,12714.74,2025-08-24,Foods
PO0000333,V00375,30,76265.72,2025-12-04,Beauty
PO0000334,V00357,60,49743.84,2025-06-18,Home Care
PO0000335,V00274,30,87911.63,2025-07-05,Home Care
PO0000336,V00269,60,25522.0,2025-11-06,Ice Cream
PO0000337,V00254,60,20417.76,2025-09-26,Home Care
PO0000338,V00309,90,127594.31,2025-08-10,Ice Cream
PO0000339,V00194,90,10998.18,2025-07-01,Foods
PO0000340,V00408,30,116278.28,2026-02-14,Beauty
PO0000341,V00146,30,123306.57,2025-01-28,Nutrition
PO0000342,V00004,30,83372.69,2025-01-24,Home Care
PO0000343,V00294,90,22367.48,2025-07-21,Nutrition
PO0000344,V00279,45,20049.4,2025-01-15,Ice Cream
PO0000345,V00413,30,33572.17,2025-05-24,Beauty
PO0000346,V00167,30,13349.26,2025-08-27,Home Care
PO0000347,V00179,90,17721.96,2025-06-20,Corporate
PO0000348,V00237,60,69426.52,2025-03-27,Corporate
PO0000349,V00165,90,69699.38,2025-04-30,Foods
PO0000350,V00330,60,16446.39,2025-09-11,Nutrition
PO0000351,V00180,60,71303.71,2026-02-04,Home Care
PO0000352,V00330,45,59051.06,2025-11-25,Foods
PO0000353,V00179,90,144842.66,2025-08-18,Ice Cream
PO0000354,V00095,30,65105.61,2025-02-28,Foods
PO0000355,V00417,60,98695.43,2025-04-12,Beauty
PO0000356,V00222,60,60205.32,2025-07-05,Nutrition
PO0000357,V00297,45,92312.95,2025-04-14,Nutrition
PO0000358,V00249,30,13439.46,2025-10-17,Home Care
PO0000359,V00151,30,36189.24,2025-06-03,Nutrition
PO0000360,V00409,60,38826.75,2025-12-17,Corporate
PO0000361,V00157,90,32624.3,2025-04-23,Home Care
PO0000362,V00418,90,58530.52,2025-07-28,Beauty
PO0000363,V00181,45,68818.14,2025-10-28,Ice Cream
PO0000364,V00010,90,56017.45,2025-03-28,Foods
PO0000365,V00016,60,34530.48,2025-11-16,Corporate
PO0000366,V00409,90,21474.67,2025-09-04,Home Care
PO0000367,V00222,90,101987.77,2025-09-30,Nutrition
PO0000368,V00163,30,54028.82,2025-07-10,Nutrition
PO0000369,V00341,60,16884.95,2026-01-28,Home Care
PO0000370,V00260,30,34042.52,2025-11-21,Corporate
PO0000371,V00278,45,9119.73,2025-03-22,Nutrition
PO0000372,V00288,60,41359.81,2025-08-22,Corporate
PO0000373,V00084,45,33907.01,2026-01-15,Foods
PO0000374,V00038,45,24629.57,2025-04-28,Home Care
PO0000375,V00306,30,154339.52,2025-08-14,Corporate
PO0000376,V00010,60,15021.97,2025-11-13,Nutrition
PO0000377,V00303,30,73162.19,2025-04-25,Home Care
PO0000378,V00055,30,257481.19,2025-08-06,Foods
PO0000379,V00111,60,100275.6,2025-08-21,Beauty
PO0000380,V00298,30,39073.2,2025-03-16,Ice Cream
PO0000381,V00262,30,15306.63,2025-03-16,Ice Cream
PO0000382,V00329,60,12610.02,2025-08-25,Corporate
PO0000383,V00257,90,28287.66,2025-03-17,Foods
PO0000384,V00021,45,22382.83,2026-02-03,Home Care
PO0000385,V00353,60,21772.11,2025-08-08,Beauty
PO0000386,V00091,30,30413.25,2025-10-24,Corporate
PO0000387,V00058,45,36794.0,2025-06-16,Foods
PO0000388,V00369,60,60623.03,2025-05-06,Beauty
PO0000389,V00082,90,14014.86,2025-07-24,Beauty
PO0000390,V00226,60,22473.51,2025-10-26,Foods
PO0000391,V00205,90,35041.16,2025-06-16,Ice Cream
PO0000392,V00324,30,33990.54,2025-04-29,Ice Cream
PO0000393,V00019,60,191177.99,2025-03-02,Ice Cream
PO0000394,V00045,60,48893.98,2025-08-16,Corporate
PO0000395,V00175,45,10182.73,2025-10-13,Home Care
PO0000396,V00199,30,57265.53,2025-08-10,Beauty
PO0000397,V00332,30,63819.51,2025-04-18,Home Care
PO0000398,V00255,45,36085.31,2025-04-14,Nutrition
PO0000399,V00063,45,14308.55,2025-06-08,Ice Cream
PO0000400,V00412,45,178857.82,2025-05-27,Beauty
PO0000401,V00194,45,16164.92,2025-03-27,Nutrition
PO0000402,V00406,30,70379.43,2026-01-31,Nutrition
PO0000403,V00416,45,47574.06,2025-05-19,Beauty
PO0000404,V00022,30,66882.26,2025-04-16,Ice Cream
PO0000405,V00213,30,171241.35,2025-09-12,Ice Cream
PO0000406,V00178,60,64692.01,2025-12-03,Beauty
PO0000407,V00210,45,24962.64,2025-07-15,Foods
PO0000408,V00131,45,102754.04,2025-10-08,Nutrition
PO0000409,V00235,60,23472.05,2025-02-09,Ice Cream
PO0000410,V00207,90,46121.03,2025-08-12,Nutrition
PO0000411,V00079,90,13371.47,2025-01-28,Home Care
PO0000412,V00122,45,16675.75,2025-02-27,Ice Cream
PO0000413,V00062,45,41926.72,2025-09-06,Corporate
PO0000414,V00355,30,54878.32,2025-03-27,Beauty
PO0000415,V00285,30,9442.42,2025-01-16,Ice Cream
PO0000416,V00163,30,61248.48,2025-03-17,Foods
PO0000417,V00167,30,19999.96,2025-11-21,Foods
PO0000418,V00034,30,119101.91,2025-09-04,Corporate
PO0000419,V00122,60,29757.31,2025-06-10,Foods
PO0000420,V00389,45,15443.15,2026-02-13,Ice Cream
PO0000421,V00014,60,42806.01,2025-06-12,Ice Cream
PO0000422,V00062,30,18420.15,2026-01-04,Nutrition
PO0000423,V00356,60,118019.29,2025-05-25,Ice Cream
PO0000424,V00219,60,40152.93,2025-01-11,Nutrition
PO0000425,V00014,60,35280.12,2025-02-16,Corporate
PO0000426,V00206,30,66372.02,2025-04-25,Nutrition
PO0000427,V00315,30,17082.24,2025-03-20,Nutrition
PO0000428,V00145,60,13416.22,2025-03-08,Foods
PO0000429,V00161,45,56789.05,2025-06-11,Beauty
PO0000430,V00266,30,15760.78,2026-02-14,Home Care
PO0000431,V00252,30,15756.23,2025-03-26,Ice Cream
PO0000432,V00380,60,81735.41,2025-04-09,Nutrition
PO0000433,V00105,30,62711.77,2026-02-22,Nutrition
PO0000434,V00116,60,13825.15,2025-03-26,Foods
PO0000435,V00066,30,23711.95,2025-12-15,Beauty
PO0000436,V00280,30,18616.96,2025-09-18,Foods
PO0000437,V00225,90,181656.24,2026-01-25,Ice Cream
PO0000438,V00146,90,86691.3,2025-08-22,Ice Cream
PO0000439,V00293,60,28065.09,2025-09-07,Foods
PO0000440,V00159,30,65497.38,2025-04-05,Corporate
PO0000441,V00083,90,12673.16,2025-08-30,Beauty
PO0000442,V00227,30,22657.6,2025-10-09,Ice Cream
PO0000443,V00184,60,43876.48,2026-02-19,Nutrition
PO0000444,V00171,90,58947.13,2025-02-10,Foods
PO0000445,V00187,60,36944.04,2025-03-07,Corporate
PO0000446,V00384,45,49553.66,2025-01-09,Corporate
PO0000447,V00091,30,42898.24,2025-11-28,Corporate
PO0000448,V00116,30,34925.04,2025-02-04,Foods
PO0000449,V00238,30,31203.21,2026-01-20,Home Care
PO0000450,V00020,60,27936.09,2025-06-03,Beauty
PO0000451,V00062,30,48881.14,2025-05-02,Home Care
PO0000452,V00238,30,56908.12,2026-02-14,Corporate
PO0000453,V00215,30,47505.71,2025-10-30,Nutrition
PO0000454,V00275,90,14738.12,2025-08-18,Nutrition
PO0000455,V00048,30,17169.87,2026-01-09,Home Care
PO0000456,V00359,60,56333.77,2025-11-13,Corporate
PO0000457,V00204,45,140213.61,2025-09-25,Corporate
PO0000458,V00066,30,45686.27,2025-05-16,Nutrition
PO0000459,V00131,45,28284.86,2026-02-19,Nutrition
PO0000460,V00096,30,48566.51,2025-10-30,Ice Cream
PO0000461,V00190,45,15270.86,2026-02-02,Foods
PO0000462,V00198,30,122100.74,2026-02-10,Beauty
PO0000463,V00183,90,47033.01,2025-08-19,Nutrition
PO0000464,V00194,90,22719.1,2025-05-31,Beauty
PO0000465,V00382,30,34829.63,2026-02-02,Beauty
PO0000466,V00403,30,25642.83,2026-02-24,Corporate
PO0000467,V00206,30,122384.07,2025-02-21,Home Care
PO0000468,V00405,60,33795.94,2025-09-26,Corporate
PO0000469,V00344,30,45800.99,2025-09-11,Beauty
PO0000470,V00345,90,65360.11,2025-11-11,Home Care
PO0000471,V00095,30,21382.93,2026-02-14,Home Care
PO0000472,V00185,90,47318.33,2025-04-16,Home Care
PO0000473,V00148,30,50679.17,2026-02-14,Home Care
PO0000474,V00041,45,10711.07,2025-09-28,Beauty
