invoice_id,vendor_id,po_id,contract_id,processor_id,market,currency,invoice_date,invoice_receipt_date,invoice_amount,invoice_payment_term,invoice_priority,approval_status,scenario_label
INV00000035,V00054,PO0000052,CT000054,P0056,Germany,EUR,2025-02-04,2025-02-07,40475.96,30,Medium,Approved,NORMAL_ON_TIME
INV00000036,V00239,PO0000060,CT000239,P0079,India,MXN,2025-06-07,2025-06-11,62006.82,45,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000037,V00169,PO0000131,CT000169,P0041,USA,GBP,2025-04-29,2025-05-06,28256.33,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000038,V00097,PO0000244,CT000097,P0036,UK,ZAR,2025-10-07,2025-10-11,30562.32,45,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000039,V00237,PO0000348,CT000237,P0070,UK,GBP,2025-08-26,2025-08-27,92947.4,60,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000040,V00316,PO0000088,CT000316,P0001,USA,ZAR,2026-02-22,2026-02-28,146605.86,60,High,Approved,HIGH_VALUE_MANUAL_OVERRIDE
INV00000041,V00298,PO0000380,CT000298,P0083,South Africa,ZAR,2025-12-20,2025-12-23,7042.57,30,Medium,Approved,REPEAT_VENDOR_PATTERN
INV00000042,V00037,PO0000571,CT000037,P0082,India,IDR,2025-03-09,2025-03-15,61695.98,90,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000043,V00237,PO0000348,CT000237,P0031,UK,EUR,2026-01-22,2026-01-24,14329.74,60,Medium,Approved,NORMAL_ON_TIME
INV00000044,V00262,PO0000381,CT000262,P0064,South Africa,USD,2025-12-17,2025-12-23,16897.94,30,Low,Pending,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000045,V00288,PO0000184,CT000288,P0017,UK,EUR,2025-06-23,2025-06-27,18255.55,60,High,Rejected,NORMAL_ON_TIME
INV00000046,V00179,PO0000347,CT000179,P0011,Mexico,IDR,2025-01-27,2025-01-31,45130.4,60,Medium,Approved,PAYMENT_TERM_MISMATCH
INV00000047,V00040,PO0000688,CT000040,P0048,Germany,IDR,2025-12-28,2026-01-04,102364.53,90,High,Approved,CORA_SAP_SYSTEM_ERROR
INV00000048,V00054,PO0000779,CT000054,P0055,Germany,ZAR,2025-03-29,2025-03-30,16741.44,60,High,Approved,LOW_RISK_STANDARD_PROCESS
INV00000049,V00140,PO0000988,CT000140,P0053,India,ZAR,2025-04-11,2025-04-13,100491.18,45,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000050,V00267,PO0000816,CT000267,P0072,USA,GBP,2025-08-03,2025-08-04,19395.91,45,High,Pending,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000051,V00228,PO0000032,CT000228,P0036,Brazil,INR,2025-02-07,2025-02-13,71130.84,30,Low,Approved,REPEAT_VENDOR_PATTERN
INV00000052,V00283,PO0000758,CT000283,P0073,USA,MXN,2025-07-01,2025-07-07,20097.58,45,Medium,Pending,NORMAL_ON_TIME
INV00000053,V00410,PO0000973,CT000410,P0082,Mexico,MXN,2025-04-23,2025-04-29,9729.86,90,Medium,Pending,REPEAT_VENDOR_PATTERN
INV00000054,V00185,PO0000910,CT000185,P0009,Indonesia,GBP,2025-01-25,2025-01-26,122786.7,45,High,Approved,NORMAL_ON_TIME
INV00000055,V00020,PO0001019,CT000020,P0072,Germany,USD,2026-02-15,2026-02-17,8801.88,30,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000056,V00287,PO0000950,CT000287,P0021,India,USD,2025-04-29,2025-05-02,8204.6,60,Medium,Rejected,REPEAT_VENDOR_PATTERN
INV00000057,V00149,PO0001127,CT000149,P0060,UK,MXN,2025-09-05,2025-09-11,4364.06,30,Low,Approved,LOW_RISK_STANDARD_PROCESS
INV00000058,V00214,PO0000256,CT000214,P0038,South Africa,GBP,2026-01-07,2026-01-13,61736.52,30,Medium,Approved,NORMAL_ON_TIME
INV00000059,V00189,PO0001073,CT000189,P0026,Indonesia,IDR,2025-08-08,2025-08-15,79111.99,30,Medium,Pending,PAYMENT_TERM_MISMATCH
INV00000060,V00121,PO0000265,CT000121,P0023,Brazil,MXN,2025-05-14,2025-05-20,24143.88,60,Medium,Approved,PAYMENT_TERM_MISMATCH
INV00000061,V00071,PO0000490,CT000071,P0032,USA,ZAR,2025-12-05,2025-12-12,5807.66,60,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000062,V00401,PO0000941,CT000401,P0010,USA,INR,2025-11-11,2025-11-13,16201.88,30,Critical,Pending,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000063,V00051,PO0000033,CT000051,P0010,USA,IDR,2025-01-05,2025-01-09,11875.7,60,Low,Approved,PAYMENT_TERM_MISMATCH
INV00000064,V00397,PO0001131,CT000397,P0057,South Africa,EUR,2026-01-08,2026-01-12,5530.36,30,Low,Pending,NORMAL_ON_TIME
INV00000065,V00048,PO0000455,CT000048,P0085,USA,ZAR,2025-02-23,2025-02-24,9766.02,90,High,Approved,CORA_SAP_SYSTEM_ERROR
INV00000066,V00041,PO0000836,CT000041,P0046,UK,ZAR,2025-12-02,2025-12-09,27750.87,45,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000067,V00380,PO0000432,CT000380,P0084,Indonesia,INR,2025-02-15,2025-02-15,8643.59,90,Medium,Approved,NORMAL_ON_TIME
INV00000068,V00398,PO0000831,CT000398,P0014,USA,GBP,2025-01-30,2025-02-05,22166.13,90,Medium,Approved,PAYMENT_TERM_MISMATCH
INV00000069,V00377,PO0001198,CT000377,P0088,Mexico,IDR,2025-02-25,2025-02-27,2527.19,45,Low,Approved,NORMAL_ON_TIME
INV00000070,V00326,PO0001045,CT000326,P0001,Germany,INR,2025-12-04,2025-12-05,487941.04,60,Critical,Approved,HIGH_VALUE_MANUAL_OVERRIDE
INV00000071,V00207,PO0000909,CT000207,P0067,India,IDR,2025-07-26,2025-07-30,10818.55,60,High,Pending,CORA_SAP_SYSTEM_ERROR
INV00000072,V00045,PO0001215,CT000045,P0006,South Africa,USD,2025-10-01,2025-10-04,40690.96,45,Critical,Pending,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000073,V00249,PO0000358,CT000249,P0055,UK,GBP,2025-05-08,2025-05-11,19892.92,30,Low,Approved,LOW_RISK_STANDARD_PROCESS
INV00000074,V00219,PO0000176,CT000219,P0035,Mexico,MXN,2025-02-24,2025-03-03,24900.0,60,Medium,Pending,LOW_RISK_STANDARD_PROCESS
INV00000075,V00309,PO0000300,CT000309,P0081,USA,ZAR,2025-12-24,2025-12-29,4971.2,30,High,Approved,PAYMENT_TERM_MISMATCH
INV00000076,V00015,PO0000182,CT000015,P0041,UK,USD,2026-01-14,2026-01-18,7342.34,30,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000077,V00033,PO0000616,CT000033,P0067,USA,MXN,2026-01-17,2026-01-23,7519.49,90,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000078,V00248,PO0001021,CT000248,P0081,UK,USD,2025-01-30,2025-02-05,16757.73,90,High,Approved,LOW_RISK_STANDARD_PROCESS
INV00000079,V00360,PO0000163,CT000360,P0065,Germany,MXN,2026-02-25,2026-02-26,65674.33,30,High,Approved,NORMAL_ON_TIME
INV00000080,V00392,PO0001134,CT000392,P0023,India,GBP,2025-09-04,2025-09-07,25717.26,30,Medium,Approved,NORMAL_ON_TIME
INV00000081,V00239,PO0000951,CT000239,P0052,India,GBP,2025-03-31,2025-04-07,6340.05,45,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000082,V00155,PO0000074,CT000155,P0078,India,IDR,2025-04-01,2025-04-07,17884.7,30,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000083,V00199,PO0000396,CT000199,P0055,USA,MXN,2025-08-17,2025-08-17,14992.94,30,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000084,V00214,PO0000721,CT000214,P0081,South Africa,INR,2025-10-02,2025-10-03,11289.09,30,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000085,V00261,PO0000846,CT000261,P0072,India,GBP,2025-01-23,2025-01-25,16055.59,30,Critical,Pending,LOW_RISK_STANDARD_PROCESS
INV00000086,V00096,PO0000139,CT000096,P0052,Germany,ZAR,2025-08-14,2025-08-18,36384.48,30,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000087,V00164,PO0000569,CT000164,P0014,India,ZAR,2025-04-20,2025-04-26,52218.01,90,Low,Pending,CORA_SAP_SYSTEM_ERROR
INV00000088,V00228,PO0000032,CT000228,P0089,Brazil,BRL,2026-02-22,2026-02-25,11348.2,45,Medium,Pending,AUDIT_GAP_EARLY_RELEASE
INV00000089,V00358,PO0001239,CT000358,P0022,Indonesia,USD,2025-10-07,2025-10-08,45762.8,30,High,Approved,NORMAL_ON_TIME
INV00000090,V00338,PO0000305,CT000338,P0023,Indonesia,ZAR,2025-06-19,2025-06-23,26699.79,90,Low,Approved,CORA_SAP_SYSTEM_ERROR
INV00000091,V00317,PO0001142,CT000317,P0014,UK,BRL,2025-07-12,2025-07-13,62509.1,30,Medium,Pending,NORMAL_ON_TIME
INV00000092,V00091,PO0000386,CT000091,P0007,India,BRL,2026-01-16,2026-01-21,73691.46,60,Medium,Rejected,PAYMENT_TERM_MISMATCH
INV00000093,V00171,PO0000444,CT000171,P0034,USA,USD,2025-11-11,2025-11-18,3910.54,30,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000094,V00233,PO0000741,CT000233,P0076,Mexico,ZAR,2025-06-26,2025-07-01,22086.3,60,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000095,V00407,PO0000579,CT000407,P0078,USA,IDR,2026-01-17,2026-01-24,9572.46,30,Medium,Approved,PAYMENT_TERM_MISMATCH
INV00000096,V00149,PO0000500,CT000149,P0045,UK,EUR,2025-10-10,2025-10-14,4634.78,30,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000097,V00386,PO0000301,CT000386,P0029,Mexico,GBP,2025-01-28,2025-02-03,7124.87,60,Medium,Approved,NORMAL_ON_TIME
INV00000098,V00315,PO0000561,CT000315,P0032,UK,GBP,2025-10-14,2025-10-21,11898.8,45,Critical,Pending,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000099,V00267,PO0000816,CT000267,P0083,USA,MXN,2026-03-04,2026-03-05,11977.12,45,Low,Approved,NORMAL_ON_TIME
INV00000100,V00141,PO0000144,CT000141,P0005,Brazil,INR,2026-01-28,2026-02-02,8627.99,90,Medium,Approved,REPEAT_VENDOR_PATTERN
INV00000101,V00334,PO0000970,CT000334,P0067,South Africa,MXN,2025-01-20,2025-01-22,16085.55,45,Low,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000102,V00294,PO0001118,CT000294,P0067,India,IDR,2026-02-06,2026-02-06,212985.32,90,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000103,V00282,PO0000849,CT000282,P0080,USA,GBP,2026-03-23,2026-03-24,2666.5,90,Medium,Approved,REPEAT_VENDOR_PATTERN
INV00000104,V00159,PO0000792,CT000159,P0009,Indonesia,INR,2025-03-16,2025-03-17,53854.2,45,Medium,Approved,PAYMENT_TERM_MISMATCH
INV00000105,V00180,PO0000677,CT000180,P0085,Indonesia,MXN,2025-10-18,2025-10-19,16005.81,90,Low,Approved,LOW_RISK_STANDARD_PROCESS
INV00000106,V00252,PO0001132,CT000252,P0017,South Africa,INR,2025-12-10,2025-12-10,10303.38,45,High,Approved,NORMAL_ON_TIME
INV00000107,V00355,PO0000209,CT000355,P0050,UK,IDR,2025-01-20,2025-01-27,1960.35,30,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000108,V00274,PO0000517,CT000274,P0067,Germany,USD,2026-01-12,2026-01-15,326059.61,30,Critical,Approved,HIGH_VALUE_MANUAL_OVERRIDE
INV00000109,V00415,PO0001192,CT000415,P0052,India,INR,2025-06-29,2025-06-30,25563.64,60,High,Approved,HIGH_VALUE_MANUAL_OVERRIDE
INV00000110,V00286,PO0001020,CT000286,P0040,UK,BRL,2025-05-17,2025-05-19,38920.98,30,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000111,V00172,PO0000934,CT000172,P0066,Brazil,GBP,2025-04-28,2025-05-03,101559.23,45,Medium,Approved,NORMAL_ON_TIME
INV00000112,V00242,PO0000952,CT000242,P0074,Indonesia,MXN,2025-08-19,2025-08-24,4243.13,60,High,Pending,NORMAL_ON_TIME
INV00000113,V00337,PO0000175,CT000337,P0082,India,EUR,2025-12-30,2025-12-30,482855.25,30,Medium,Approved,REPEAT_VENDOR_PATTERN
INV00000114,V00365,PO0000969,CT000365,P0002,Germany,MXN,2026-01-09,2026-01-10,16759.35,60,Medium,Approved,NORMAL_ON_TIME
INV00000115,V00108,PO0001227,CT000108,P0070,USA,USD,2025-04-13,2025-04-17,1810.01,90,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000116,V00105,PO0000254,CT000105,P0029,Indonesia,INR,2026-01-12,2026-01-19,4605.2,30,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000117,V00085,PO0000783,CT000085,P0051,India,BRL,2026-01-11,2026-01-11,19675.67,45,High,Approved,NORMAL_ON_TIME
INV00000118,V00024,PO0000198,CT000024,P0036,Mexico,GBP,2025-01-28,2025-02-03,24865.64,45,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000119,V00284,PO0001184,CT000284,P0072,USA,BRL,2025-05-23,2025-05-23,19748.52,60,Critical,Pending,HIGH_VALUE_MANUAL_OVERRIDE
INV00000120,V00405,PO0001096,CT000405,P0036,Mexico,ZAR,2025-01-07,2025-01-10,16869.97,60,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000121,V00258,PO0000293,CT000258,P0043,India,INR,2026-03-27,2026-03-28,38744.1,45,High,Pending,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000122,V00026,PO0000013,CT000026,P0026,USA,BRL,2025-08-03,2025-08-06,46560.34,60,High,Approved,LOW_RISK_STANDARD_PROCESS
INV00000123,V00239,PO0000060,CT000239,P0056,India,ZAR,2025-05-04,2025-05-11,10577.9,45,Medium,Pending,REPEAT_VENDOR_PATTERN
INV00000124,V00380,PO0000432,CT000380,P0075,Indonesia,ZAR,2026-02-11,2026-02-12,25858.44,60,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000125,V00022,PO0001071,CT000022,P0029,UK,USD,2025-11-08,2025-11-13,50314.93,30,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000126,V00258,PO0000293,CT000258,P0036,India,IDR,2026-03-04,2026-03-06,39937.81,30,Low,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000127,V00186,PO0000997,CT000186,P0006,Germany,MXN,2025-12-31,2026-01-05,41606.39,45,Medium,Pending,NORMAL_ON_TIME
INV00000128,V00386,PO0000145,CT000386,P0005,Mexico,ZAR,2026-03-11,2026-03-11,18383.01,30,High,Approved,NORMAL_ON_TIME
INV00000129,V00216,PO0000040,CT000216,P0033,Indonesia,MXN,2025-04-09,2025-04-11,14775.95,45,High,Approved,PAYMENT_TERM_MISMATCH
INV00000130,V00238,PO0000452,CT000238,P0087,Indonesia,USD,2025-04-03,2025-04-10,21714.15,30,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000131,V00304,PO0000212,CT000304,P0023,Brazil,MXN,2025-02-04,2025-02-09,7317.64,90,Medium,Pending,NORMAL_ON_TIME
INV00000132,V00345,PO0000762,CT000345,P0037,Indonesia,MXN,2025-06-05,2025-06-12,52454.41,90,Critical,Approved,NORMAL_ON_TIME
INV00000133,V00217,PO0000226,CT000217,P0061,India,BRL,2025-09-08,2025-09-13,3271.73,60,Medium,Pending,AUDIT_GAP_EARLY_RELEASE
INV00000134,V00303,PO0000532,CT000303,P0060,Brazil,USD,2025-09-15,2025-09-16,9609.18,90,Medium,Pending,CORA_SAP_SYSTEM_ERROR
INV00000135,V00339,PO0000937,CT000339,P0025,India,EUR,2025-11-05,2025-11-08,15708.31,30,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000136,V00221,PO0000811,CT000221,P0012,USA,GBP,2025-11-30,2025-12-07,26719.89,60,Medium,Approved,NORMAL_ON_TIME
INV00000137,V00301,PO0000929,CT000301,P0040,Indonesia,MXN,2026-01-07,2026-01-12,263355.02,30,Critical,Pending,HIGH_VALUE_MANUAL_OVERRIDE
INV00000138,V00282,PO0000849,CT000282,P0020,USA,EUR,2025-08-25,2025-08-29,77919.81,30,Medium,Approved,REPEAT_VENDOR_PATTERN
INV00000139,V00150,PO0001048,CT000150,P0008,India,IDR,2025-05-05,2025-05-11,17705.66,45,High,Pending,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000140,V00002,PO0000972,CT000002,P0042,UK,EUR,2025-07-19,2025-07-19,7678.0,30,Medium,Pending,NORMAL_ON_TIME
INV00000141,V00282,PO0000849,CT000282,P0072,USA,MXN,2026-02-01,2026-02-08,14012.59,30,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000142,V00106,PO0001018,CT000106,P0061,Indonesia,USD,2026-01-07,2026-01-08,11668.32,90,Medium,Pending,PAYMENT_TERM_MISMATCH
INV00000143,V00342,PO0000891,CT000342,P0082,Mexico,EUR,2026-02-21,2026-02-28,28167.67,90,Medium,Approved,PAYMENT_TERM_MISMATCH
INV00000144,V00400,PO0000231,CT000400,P0027,UK,USD,2025-09-03,2025-09-09,5322.25,30,Medium,Approved,AUDIT_GAP_EARLY_RELEASE
INV00000145,V00368,PO0001121,CT000368,P0059,Germany,BRL,2025-12-21,2025-12-24,13572.47,30,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000146,V00116,PO0000448,CT000116,P0080,South Africa,MXN,2025-07-07,2025-07-10,89661.35,60,Low,Pending,NORMAL_ON_TIME
INV00000147,V00274,PO0000517,CT000274,P0003,Germany,INR,2025-01-04,2025-01-04,19709.28,30,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000148,V00316,PO0001031,CT000316,P0071,USA,BRL,2025-12-05,2025-12-07,5401.44,90,Medium,Approved,PAYMENT_TERM_MISMATCH
INV00000149,V00213,PO0000635,CT000213,P0008,USA,IDR,2025-02-09,2025-02-10,11421.2,30,Medium,Approved,NORMAL_ON_TIME
INV00000150,V00214,PO0001229,CT000214,P0050,South Africa,INR,2025-10-17,2025-10-22,1564.57,30,High,Pending,NORMAL_ON_TIME
INV00000151,V00184,PO0000443,CT000184,P0052,USA,MXN,2026-03-30,2026-03-31,15339.66,60,Low,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000152,V00130,PO0000136,CT000130,P0042,Brazil,GBP,2025-01-12,2025-01-18,92048.0,45,Low,Pending,LOW_RISK_STANDARD_PROCESS
INV00000153,V00241,PO0000098,CT000241,P0051,South Africa,EUR,2025-11-30,2025-12-02,4694.12,45,Low,Pending,PAYMENT_TERM_MISMATCH
INV00000154,V00417,PO0001067,CT000417,P0056,India,EUR,2026-01-31,2026-02-06,3537.41,60,High,Approved,NORMAL_ON_TIME
INV00000155,V00092,PO0000057,CT000092,P0053,Indonesia,EUR,2025-10-13,2025-10-15,8217.96,60,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000156,V00020,PO0000450,CT000020,P0066,Germany,USD,2025-11-10,2025-11-16,42932.4,60,Medium,Approved,NORMAL_ON_TIME
INV00000157,V00024,PO0000198,CT000024,P0052,Mexico,USD,2026-02-15,2026-02-20,97720.78,30,Low,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000158,V00245,PO0001244,CT000245,P0012,Germany,USD,2025-12-20,2025-12-27,26124.34,30,Low,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000159,V00114,PO0001058,CT000114,P0038,Brazil,EUR,2025-01-19,2025-01-23,4229.31,45,Critical,Pending,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000160,V00194,PO0000464,CT000194,P0077,South Africa,IDR,2025-12-19,2025-12-21,15941.23,90,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000161,V00400,PO0000629,CT000400,P0035,UK,EUR,2025-12-11,2025-12-16,106819.61,90,Medium,Approved,NORMAL_ON_TIME
INV00000162,V00033,PO0000616,CT000033,P0072,USA,BRL,2025-04-14,2025-04-14,11772.88,60,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000163,V00074,PO0000504,CT000074,P0067,USA,USD,2025-10-25,2025-11-01,18910.94,90,High,Approved,AUDIT_GAP_EARLY_RELEASE
INV00000164,V00090,PO0000981,CT000090,P0036,Brazil,MXN,2026-01-19,2026-01-24,21006.51,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000165,V00192,PO0000005,CT000192,P0023,USA,GBP,2026-01-21,2026-01-21,3219.06,60,Medium,Approved,NORMAL_ON_TIME
INV00000166,V00292,PO0000964,CT000292,P0086,India,INR,2026-02-01,2026-02-02,46529.6,90,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000167,V00077,PO0000151,CT000077,P0064,USA,IDR,2025-12-20,2025-12-20,39992.6,45,High,Approved,NORMAL_ON_TIME
INV00000168,V00046,PO0000869,CT000046,P0003,South Africa,ZAR,2025-02-25,2025-03-02,2011.79,45,Medium,Approved,NORMAL_ON_TIME
INV00000169,V00037,PO0000571,CT000037,P0078,India,MXN,2025-08-09,2025-08-14,4035.22,60,Low,Approved,NORMAL_ON_TIME
INV00000170,V00337,PO0000890,CT000337,P0035,India,INR,2025-04-17,2025-04-18,5894.74,30,Medium,Approved,NORMAL_ON_TIME
INV00000171,V00013,PO0001178,CT000013,P0026,Germany,GBP,2025-02-02,2025-02-06,35802.27,60,Low,Pending,NORMAL_ON_TIME
INV00000172,V00263,PO0001155,CT000263,P0048,USA,GBP,2025-04-30,2025-05-03,7415.53,45,Low,Approved,PAYMENT_TERM_MISMATCH
